roomNumber,bin,user_id,room_entry_sequence,join_result,waiting_start_time,waiting_start_nanoTime,waiting_start_epochNano,waiting_start_event_type,critical_enter_time,critical_enter_nanoTime,critical_enter_epochNano,critical_enter_event_type,critical_leave_time,critical_leave_nanoTime,critical_leave_epochNano,critical_leave_event_type,increment_before_time,increment_before_nanoTime,increment_before_epochNano,increment_after_time,increment_after_nanoTime,increment_after_epochNano
1170,1.0,yhjj828,1,SUCCESS,2025-07-12 06:02:15.932842900+00:00,3607657185000,1752300135933167360,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.932842900+00:00,3607657541700,1752300135933523968,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.932842900+00:00,3607657724000,1752300135933706240,SUCCESS,2025-07-12 06:02:15.932842900+00:00,3607657641300,1752300135933623552,2025-07-12 06:02:15.932842900+00:00,3607657683300,1752300135933665536
1170,1.0,yhjj932,2,SUCCESS,2025-07-12 06:02:15.945854100+00:00,3607669675900,1752300135945658112,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.945854100+00:00,3607669744900,1752300135945727232,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.945854100+00:00,3607669974200,1752300135945956608,SUCCESS,2025-07-12 06:02:15.945854100+00:00,3607669819100,1752300135945801472,2025-07-12 06:02:15.945854100+00:00,3607669922200,1752300135945904384
1170,1.0,yhjj1006,3,SUCCESS,2025-07-12 06:02:15.945854100+00:00,3607669946000,1752300135945928192,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.945854100+00:00,3607670006000,1752300135945988352,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.945854100+00:00,3607670191400,1752300135946173696,SUCCESS,2025-07-12 06:02:15.945854100+00:00,3607670081400,1752300135946063616,2025-07-12 06:02:15.945854100+00:00,3607670117600,1752300135946099968
1170,1.0,yhjj849,4,SUCCESS,2025-07-12 06:02:15.950831300+00:00,3607674630900,1752300135950613248,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.950831300+00:00,3607674712400,1752300135950694656,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.951879300+00:00,3607675247500,1752300135951229696,SUCCESS,2025-07-12 06:02:15.950831300+00:00,3607674999500,1752300135950981888,2025-07-12 06:02:15.950831300+00:00,3607675135100,1752300135951117312
1170,1.0,yhjj848,5,SUCCESS,2025-07-12 06:02:15.950831300+00:00,3607674643400,1752300135950625792,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.950831300+00:00,3607674774600,1752300135950756864,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.950831300+00:00,3607675174500,1752300135951156736,SUCCESS,2025-07-12 06:02:15.950831300+00:00,3607674879300,1752300135950861568,2025-07-12 06:02:15.950831300+00:00,3607674913600,1752300135950895872
1170,1.0,yhjj845,6,SUCCESS,2025-07-12 06:02:15.952882100+00:00,3607676841200,1752300135952823552,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.952882100+00:00,3607676915500,1752300135952897792,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.952882100+00:00,3607677090900,1752300135953073152,SUCCESS,2025-07-12 06:02:15.952882100+00:00,3607676990600,1752300135952972800,2025-07-12 06:02:15.952882100+00:00,3607677026900,1752300135953009152
1170,1.0,yhjj839,7,SUCCESS,2025-07-12 06:02:15.952882100+00:00,3607677218100,1752300135953200384,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.953879300+00:00,3607677269500,1752300135953251840,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.953879300+00:00,3607677476600,1752300135953458944,SUCCESS,2025-07-12 06:02:15.953879300+00:00,3607677386800,1752300135953369088,2025-07-12 06:02:15.953879300+00:00,3607677420300,1752300135953402624
1170,1.0,yhjj881,8,SUCCESS,2025-07-12 06:02:15.955168500+00:00,3607679065600,1752300135955047936,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.955168500+00:00,3607679295000,1752300135955277312,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.955168500+00:00,3607679704300,1752300135955686656,SUCCESS,2025-07-12 06:02:15.955168500+00:00,3607679437600,1752300135955419904,2025-07-12 06:02:15.955168500+00:00,3607679667100,1752300135955649280
1170,1.0,yhjj854,9,SUCCESS,2025-07-12 06:02:15.955168500+00:00,3607679115000,1752300135955097344,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.955168500+00:00,3607679174000,1752300135955156224,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.955168500+00:00,3607679368000,1752300135955350272,SUCCESS,2025-07-12 06:02:15.955168500+00:00,3607679280600,1752300135955262976,2025-07-12 06:02:15.955168500+00:00,3607679322100,1752300135955304448
1170,1.0,yhjj823,10,SUCCESS,2025-07-12 06:02:15.955168500+00:00,3607679596200,1752300135955578624,PRE_JOIN_ATTEMPT,2025-07-12 06:02:15.955168500+00:00,3607679915000,1752300135955897344,CRITICAL_ENTER_EVENT,2025-07-12 06:02:15.955168500+00:00,3607680076500,1752300135956058880,SUCCESS,2025-07-12 06:02:15.955168500+00:00,3607680005000,1752300135955987200,2025-07-12 06:02:15.955168500+00:00,3607680037600,1752300135956019968
