roomNumber,bin,user_id,room_entry_sequence,join_result,waiting_start_time,waiting_start_nanoTime,waiting_start_epochNano,waiting_start_event_type,critical_enter_time,critical_enter_nanoTime,critical_enter_epochNano,critical_enter_event_type,critical_leave_time,critical_leave_nanoTime,critical_leave_epochNano,critical_leave_event_type,increment_before_time,increment_before_nanoTime,increment_before_epochNano,increment_before_event_type,increment_after_time,increment_after_nanoTime,increment_after_epochNano,increment_after_event_type
1223,1.0,yhjj904,2.0,SUCCESS,2025-07-19 12:01:15.621003700+00:00,73031517039000,1752926475618044672,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.621003700+00:00,73031517159300,1752926475618164992,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.622005300+00:00,73031517645300,1752926475618650880,SUCCESS,2025-07-19 12:01:15.622005300+00:00,73031517538300,1752926475618544128,,2025-07-19 12:01:15.622005300+00:00,73031517601200,1752926475618606848,
1223,1.0,yhjj990,1.0,SUCCESS,2025-07-19 12:01:15.621003700+00:00,73031516727500,1752926475617733120,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.623003900+00:00,73031517791900,1752926475618797568,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.624005800+00:00,73031519654700,1752926475620660480,SUCCESS,2025-07-19 12:01:15.624005800+00:00,73031519563300,1752926475620569088,,2025-07-19 12:01:15.624005800+00:00,73031519616000,1752926475620621824,
1223,1.0,yhjj972,3.0,SUCCESS,2025-07-19 12:01:15.628003800+00:00,73031523947600,1752926475624953344,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.628003800+00:00,73031524044200,1752926475625049856,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.628003800+00:00,73031524213100,1752926475625218816,SUCCESS,2025-07-19 12:01:15.628003800+00:00,73031524135200,1752926475625140992,,2025-07-19 12:01:15.628003800+00:00,73031524172800,1752926475625178624,
1223,1.0,yhjj965,4.0,SUCCESS,2025-07-19 12:01:15.629002800+00:00,73031525260300,1752926475626266112,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.630003800+00:00,73031525464800,1752926475626470400,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.630003800+00:00,73031525685700,1752926475626691328,SUCCESS,2025-07-19 12:01:15.630003800+00:00,73031525600100,1752926475626605824,,2025-07-19 12:01:15.630003800+00:00,73031525645800,1752926475626651392,
1223,1.0,yhjj825,5.0,SUCCESS,2025-07-19 12:01:15.645000900+00:00,73031540971600,1752926475641977344,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.645000900+00:00,73031541084500,1752926475642090240,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.645000900+00:00,73031541241800,1752926475642247424,SUCCESS,2025-07-19 12:01:15.645000900+00:00,73031541175100,1752926475642180864,,2025-07-19 12:01:15.645000900+00:00,73031541209800,1752926475642215424,
1223,1.0,yhjj896,6.0,SUCCESS,2025-07-19 12:01:15.647001900+00:00,73031542632200,1752926475643638016,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.647001900+00:00,73031542764800,1752926475643770624,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.647001900+00:00,73031542905400,1752926475643911168,SUCCESS,2025-07-19 12:01:15.647001900+00:00,73031542843800,1752926475643849472,,2025-07-19 12:01:15.647001900+00:00,73031542877600,1752926475643883264,
1223,1.0,yhjj819,8.0,SUCCESS,2025-07-19 12:01:15.651002600+00:00,73031546616800,1752926475647622400,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.651002600+00:00,73031546664300,1752926475647670016,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.651002600+00:00,73031547010000,1752926475648015616,SUCCESS,2025-07-19 12:01:15.651002600+00:00,73031546887500,1752926475647893248,,2025-07-19 12:01:15.651002600+00:00,73031546940700,1752926475647946496,
1223,1.0,yhjj991,7.0,SUCCESS,2025-07-19 12:01:15.651002600+00:00,73031546512200,1752926475647517952,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.651002600+00:00,73031547314700,1752926475648320512,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.652005+00:00,73031547555300,1752926475648560896,SUCCESS,2025-07-19 12:01:15.652005+00:00,73031547478400,1752926475648484096,,2025-07-19 12:01:15.652005+00:00,73031547518100,1752926475648523776,
1223,1.0,yhjj960,9.0,SUCCESS,2025-07-19 12:01:15.673003100+00:00,73031568904900,1752926475669910528,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.673003100+00:00,73031569027600,1752926475670033408,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.673003100+00:00,73031569155100,1752926475670160896,SUCCESS,2025-07-19 12:01:15.673003100+00:00,73031569094700,1752926475670100480,,2025-07-19 12:01:15.673003100+00:00,73031569125500,1752926475670131200,
1223,1.0,yhjj876,10.0,SUCCESS,2025-07-19 12:01:15.675001500+00:00,73031570680100,1752926475671685888,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.675001500+00:00,73031570761100,1752926475671766784,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.675001500+00:00,73031570902900,1752926475671908608,SUCCESS,2025-07-19 12:01:15.675001500+00:00,73031570823600,1752926475671829248,,2025-07-19 12:01:15.675001500+00:00,73031570861100,1752926475671866880,
1223,1.0,yhjj827,11.0,SUCCESS,2025-07-19 12:01:15.675001500+00:00,73031571222400,1752926475672228096,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.675001500+00:00,73031571321200,1752926475672326912,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.676003200+00:00,73031571510900,1752926475672516608,SUCCESS,2025-07-19 12:01:15.676003200+00:00,73031571397100,1752926475672402688,,2025-07-19 12:01:15.676003200+00:00,73031571477600,1752926475672483328,
1223,1.0,yhjj884,12.0,SUCCESS,2025-07-19 12:01:15.683003200+00:00,73031578996400,1752926475680002048,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.683003200+00:00,73031579071700,1752926475680077312,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.683003200+00:00,73031579221500,1752926475680227328,SUCCESS,2025-07-19 12:01:15.683003200+00:00,73031579156000,1752926475680161792,,2025-07-19 12:01:15.683003200+00:00,73031579190200,1752926475680195840,
1223,1.0,yhjj942,13.0,SUCCESS,2025-07-19 12:01:15.687003100+00:00,73031583368400,1752926475684374016,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.688003100+00:00,73031583504400,1752926475684510208,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.688003100+00:00,73031583660100,1752926475684665856,SUCCESS,2025-07-19 12:01:15.688003100+00:00,73031583591900,1752926475684597504,,2025-07-19 12:01:15.688003100+00:00,73031583629500,1752926475684635136,
1223,1.0,yhjj868,14.0,SUCCESS,2025-07-19 12:01:15.695002+00:00,73031590939300,1752926475691944960,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.695002+00:00,73031591203500,1752926475692209152,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.695002+00:00,73031591367600,1752926475692373248,SUCCESS,2025-07-19 12:01:15.695002+00:00,73031591303400,1752926475692308992,,2025-07-19 12:01:15.695002+00:00,73031591337800,1752926475692343552,
1223,1.0,yhjj874,15.0,SUCCESS,2025-07-19 12:01:15.697002900+00:00,73031592405700,1752926475693411328,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.697002900+00:00,73031592535800,1752926475693541376,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.697002900+00:00,73031592683700,1752926475693689344,SUCCESS,2025-07-19 12:01:15.697002900+00:00,73031592621900,1752926475693627648,,2025-07-19 12:01:15.697002900+00:00,73031592654800,1752926475693660416,
1223,1.0,yhjj945,16.0,SUCCESS,2025-07-19 12:01:15.715002100+00:00,73031610497400,1752926475711503104,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.715002100+00:00,73031610637200,1752926475711642880,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.715002100+00:00,73031610799900,1752926475711805696,SUCCESS,2025-07-19 12:01:15.715002100+00:00,73031610744200,1752926475711749888,,2025-07-19 12:01:15.715002100+00:00,73031610773700,1752926475711779328,
1223,1.0,yhjj912,17.0,SUCCESS,2025-07-19 12:01:15.720001900+00:00,73031615608500,1752926475716614144,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.720001900+00:00,73031616062700,1752926475717068288,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.720001900+00:00,73031616287600,1752926475717293312,SUCCESS,2025-07-19 12:01:15.720001900+00:00,73031616227200,1752926475717232896,,2025-07-19 12:01:15.720001900+00:00,73031616259400,1752926475717265152,
1223,1.0,yhjj981,18.0,SUCCESS,2025-07-19 12:01:15.724001400+00:00,73031619672200,1752926475720677888,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.724001400+00:00,73031619737100,1752926475720742912,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.724001400+00:00,73031620237500,1752926475721243136,SUCCESS,2025-07-19 12:01:15.724001400+00:00,73031619867100,1752926475720872704,,2025-07-19 12:01:15.724001400+00:00,73031620201100,1752926475721206784,
1223,1.0,yhjj985,19.0,SUCCESS,2025-07-19 12:01:15.726000900+00:00,73031621576100,1752926475722581760,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.726000900+00:00,73031621642500,1752926475722648320,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.726000900+00:00,73031621761900,1752926475722767616,SUCCESS,2025-07-19 12:01:15.726000900+00:00,73031621702400,1752926475722708224,,2025-07-19 12:01:15.726000900+00:00,73031621729400,1752926475722735104,
1223,1.0,yhjj888,20.0,SUCCESS,2025-07-19 12:01:15.733003+00:00,73031628630100,1752926475729635840,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.733003+00:00,73031628708800,1752926475729714432,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.733003+00:00,73031628843900,1752926475729849600,SUCCESS,2025-07-19 12:01:15.733003+00:00,73031628769100,1752926475729774848,,2025-07-19 12:01:15.733003+00:00,73031628798600,1752926475729804288,
1223,2.0,yhjj956,21.0,SUCCESS,2025-07-19 12:01:15.733003+00:00,73031628709700,1752926475729715456,PRE_JOIN_ATTEMPT,2025-07-19 12:01:15.733003+00:00,73031629010100,1752926475730015744,CRITICAL_ENTER_EVENT,2025-07-19 12:01:15.733003+00:00,73031629212300,1752926475730217984,SUCCESS,2025-07-19 12:01:15.733003+00:00,73031629125400,1752926475730131200,,2025-07-19 12:01:15.733003+00:00,73031629180500,1752926475730186240,
