roomNumber,bin,room_entry_sequence,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_people,curr_people,lost_update_diff
1170,1,4,yhjj849,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.951879+00:00,4,5.0,6,1.0
1170,1,18,yhjj969,2025-07-12 06:02:15.978037+00:00,2025-07-12 06:02:15.982303+00:00,19,20.0,21,1.0
1170,1,20,yhjj950,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,18,19.0,20,1.0
1170,2,21,yhjj872,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,20,21.0,22,1.0
1170,2,24,yhjj842,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,23,24.0,26,2.0
1170,2,27,yhjj820,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,26,27.0,32,5.0
1170,2,36,yhjj853,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.006072+00:00,36,37.0,38,1.0
1170,3,48,yhjj826,2025-07-12 06:02:16.021469+00:00,2025-07-12 06:02:16.023479+00:00,48,49.0,53,4.0
1170,3,50,yhjj844,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,49,50.0,51,1.0
1170,3,52,yhjj920,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,49,50.0,52,2.0
1170,3,57,yhjj1000,2025-07-12 06:02:16.029511+00:00,2025-07-12 06:02:16.030518+00:00,57,58.0,59,1.0
1170,4,66,yhjj837,2025-07-12 06:02:16.040671+00:00,2025-07-12 06:02:16.040671+00:00,66,67.0,68,1.0
1170,4,78,yhjj928,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,78,79.0,82,3.0
1170,5,82,yhjj908,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.050379+00:00,81,82.0,83,1.0
1170,5,83,yhjj994,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.052389+00:00,83,84.0,85,1.0
1171,1,4,yhjj834,2025-07-12 06:04:41.836876+00:00,2025-07-12 06:04:41.836876+00:00,4,5.0,6,1.0
1171,1,13,yhjj863,2025-07-12 06:04:41.854504+00:00,2025-07-12 06:04:41.854504+00:00,12,13.0,14,1.0
1171,1,18,yhjj822,2025-07-12 06:04:41.867337+00:00,2025-07-12 06:04:41.867337+00:00,17,18.0,19,1.0
1171,4,61,yhjj847,2025-07-12 06:04:41.951878+00:00,2025-07-12 06:04:41.956846+00:00,62,63.0,65,2.0
1171,4,64,yhjj825,2025-07-12 06:04:41.951878+00:00,2025-07-12 06:04:41.951878+00:00,62,63.0,64,1.0
1171,5,88,yhjj919,2025-07-12 06:04:41.986337+00:00,2025-07-12 06:04:41.986337+00:00,88,89.0,90,1.0
1171,5,90,yhjj930,2025-07-12 06:04:41.986337+00:00,2025-07-12 06:04:41.986337+00:00,88,89.0,91,2.0
1171,5,97,yhjj1005,2025-07-12 06:04:41.992277+00:00,2025-07-12 06:04:41.992277+00:00,96,97.0,98,1.0
1172,1,14,yhjj867,2025-07-12 06:08:34.738836+00:00,2025-07-12 06:08:34.739842+00:00,13,14.0,15,1.0
1172,2,29,yhjj965,2025-07-12 06:08:34.760186+00:00,2025-07-12 06:08:34.760186+00:00,28,29.0,30,1.0
1172,2,30,yhjj829,2025-07-12 06:08:34.760186+00:00,2025-07-12 06:08:34.760186+00:00,30,31.0,32,1.0
1172,3,53,yhjj998,2025-07-12 06:08:34.791041+00:00,2025-07-12 06:08:34.791041+00:00,52,53.0,54,1.0
1172,3,60,yhjj946,2025-07-12 06:08:34.801344+00:00,2025-07-12 06:08:34.801344+00:00,59,60.0,61,1.0
1172,4,61,yhjj967,2025-07-12 06:08:34.801344+00:00,2025-07-12 06:08:34.801344+00:00,59,60.0,62,2.0
1172,5,88,yhjj930,2025-07-12 06:08:34.817583+00:00,2025-07-12 06:08:34.817583+00:00,89,90.0,91,1.0
1173,2,21,yhjj899,2025-07-12 06:10:31.241373+00:00,2025-07-12 06:10:31.242373+00:00,20,21.0,22,1.0
1173,2,24,yhjj960,2025-07-12 06:10:31.256416+00:00,2025-07-12 06:10:31.256416+00:00,24,25.0,26,1.0
1173,2,33,yhjj892,2025-07-12 06:10:31.263417+00:00,2025-07-12 06:10:31.263417+00:00,32,33.0,34,1.0
1173,2,37,yhjj887,2025-07-12 06:10:31.267415+00:00,2025-07-12 06:10:31.267415+00:00,36,37.0,38,1.0
1173,2,39,yhjj891,2025-07-12 06:10:31.268417+00:00,2025-07-12 06:10:31.268417+00:00,38,39.0,40,1.0
1173,3,45,yhjj954,2025-07-12 06:10:31.273416+00:00,2025-07-12 06:10:31.273416+00:00,44,45.0,46,1.0
1173,3,48,yhjj890,2025-07-12 06:10:31.274415+00:00,2025-07-12 06:10:31.274415+00:00,48,49.0,50,1.0
1173,3,59,yhjj918,2025-07-12 06:10:31.281416+00:00,2025-07-12 06:10:31.281416+00:00,57,58.0,60,2.0
1173,5,85,yhjj819,2025-07-12 06:10:31.292417+00:00,2025-07-12 06:10:31.292417+00:00,84,85.0,86,1.0
1173,5,91,yhjj947,2025-07-12 06:10:31.293415+00:00,2025-07-12 06:10:31.293415+00:00,90,91.0,93,2.0
1173,5,94,yhjj836,2025-07-12 06:10:31.294417+00:00,2025-07-12 06:10:31.295416+00:00,94,95.0,99,4.0
1174,1,18,yhjj850,2025-07-12 06:12:27.502764+00:00,2025-07-12 06:12:27.502764+00:00,18,19.0,20,1.0
