roomNumber,bin,room_entry_sequence,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_people,curr_people,lost_update_diff
1177,1,18,yhjj852,,,17,18.0,19,1.0
1177,2,22,yhjj977,,,21,22.0,23,1.0
1177,2,38,yhjj932,,,37,38.0,39,1.0
1177,2,40,yhjj868,,,39,40.0,41,1.0
1177,3,52,yhjj830,,,52,53.0,54,1.0
1177,3,54,yhjj841,,,53,54.0,55,1.0
1177,3,59,yhjj859,,,58,59.0,60,1.0
1177,4,63,yhjj974,,,62,63.0,64,1.0
1177,4,69,yhjj883,,,69,70.0,71,1.0
1177,4,71,yhjj891,,,70,71.0,72,1.0
1177,4,76,yhjj847,,,75,76.0,78,2.0
1177,4,77,yhjj889,,,75,76.0,77,1.0
1177,5,81,yhjj998,,,80,81.0,82,1.0
1177,5,85,yhjj853,,,84,85.0,87,2.0
1177,5,86,yhjj999,,,84,85.0,86,1.0
1177,5,89,yhjj1009,,,89,90.0,91,1.0
1177,5,92,yhjj925,,,92,93.0,94,1.0
1177,5,96,yhjj870,,,96,97.0,98,1.0
1177,5,98,yhjj993,,,97,98.0,99,1.0
