roomNumber,bin,user_id,contention_group_size,contention_user_ids,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos
1170,1,yhjj932,2.0,"yhjj1006, yhjj932",3607669744900,3607669974200,229300
1170,1,yhjj1006,2.0,"yhjj1006, yhjj932",3607670006000,3607670191400,185400
1170,1,yhjj849,2.0,"yhjj848, yhjj849",3607674712400,3607675247500,535100
1170,1,yhjj848,2.0,"yhjj848, yhjj849",3607674774600,3607675174500,399900
1170,1,yhjj854,4.0,"yhjj850, yhjj854, yhjj881, yhjj823",3607679174000,3607679368000,194000
1170,1,yhjj881,4.0,"yhjj850, yhjj854, yhjj881, yhjj823",3607679295000,3607679704300,409300
1170,1,yhjj823,4.0,"yhjj850, yhjj854, yhjj881, yhjj823",3607679915000,3607680076500,161500
1170,1,yhjj850,4.0,"yhjj850, yhjj854, yhjj881, yhjj823",3607680438800,3607681737400,1298600
1170,1,yhjj946,2.0,"yhjj824, yhjj946",3607684088700,3607685866600,1777900
1170,1,yhjj824,2.0,"yhjj824, yhjj946",3607687012900,3607687182900,170000
1170,1,yhjj868,2.0,"yhjj822, yhjj868",3607697607000,3607697912400,305400
1170,1,yhjj822,2.0,"yhjj822, yhjj868",3607697862000,3607698059100,197100
1170,1,yhjj976,5.0,"yhjj872, yhjj976, yhjj969, yhjj833, yhjj950",3607705533400,3607705948900,415500
1170,1,yhjj969,5.0,"yhjj872, yhjj976, yhjj969, yhjj833, yhjj950",3607705664900,3607706693200,1028300
1170,1,yhjj833,5.0,"yhjj872, yhjj976, yhjj969, yhjj833, yhjj950",3607705779800,3607706449900,670100
1170,1,yhjj950,5.0,"yhjj872, yhjj976, yhjj969, yhjj833, yhjj950",3607705843800,3607706307800,464000
1170,2,yhjj872,5.0,"yhjj872, yhjj976, yhjj969, yhjj833, yhjj950",3607705981500,3607707424600,1443100
1170,2,yhjj918,6.0,"yhjj889, yhjj918, yhjj842, yhjj870, yhjj921, yhjj820",3607713299300,3607713536700,237400
1170,2,yhjj842,6.0,"yhjj889, yhjj918, yhjj842, yhjj870, yhjj921, yhjj820",3607713416000,3607713695000,279000
1170,2,yhjj870,6.0,"yhjj889, yhjj918, yhjj842, yhjj870, yhjj921, yhjj820",3607713476800,3607713890500,413700
1170,2,yhjj921,3.0,"yhjj944, yhjj921, yhjj820",3607713953300,3607717447100,3493800
1170,2,yhjj820,3.0,"yhjj944, yhjj921, yhjj820",3607714224500,3607717645200,3420700
1170,2,yhjj889,6.0,"yhjj889, yhjj918, yhjj842, yhjj870, yhjj921, yhjj820",3607714281000,3607714368900,87900
1170,2,yhjj883,4.0,"yhjj879, yhjj921, yhjj820, yhjj883",3607715012500,3607715108300,95800
1170,2,yhjj879,4.0,"yhjj879, yhjj921, yhjj820, yhjj883",3607715029100,3607715992100,963000
1170,2,yhjj944,3.0,"yhjj944, yhjj921, yhjj820",3607717154100,3607717233500,79400
1170,2,yhjj970,3.0,"yhjj951, yhjj970, yhjj853",3607725587500,3607725650200,62700
1170,2,yhjj853,2.0,"yhjj887, yhjj853",3607725821100,3607729894100,4073000
1170,2,yhjj951,3.0,"yhjj951, yhjj970, yhjj853",3607726036900,3607726311000,274100
1170,2,yhjj887,2.0,"yhjj887, yhjj853",3607729305900,3607730596100,1290200
1170,2,yhjj832,3.0,"yhjj929, yhjj832, yhjj925",3607732192100,3607732296700,104600
1170,2,yhjj925,3.0,"yhjj929, yhjj832, yhjj925",3607732212500,3607732350900,138400
1170,3,yhjj929,3.0,"yhjj929, yhjj832, yhjj925",3607733180100,3607733221300,41200
1170,3,yhjj856,2.0,"yhjj886, yhjj856",3607735482300,3607735545000,62700
1170,3,yhjj886,2.0,"yhjj886, yhjj856",3607735846200,3607735887500,41300
1170,3,yhjj990,2.0,"yhjj959, yhjj990",3607739786000,3607740131700,345700
1170,3,yhjj959,2.0,"yhjj959, yhjj990",3607740232100,3607740297800,65700
1170,3,yhjj826,5.0,"yhjj920, yhjj826, yhjj998, yhjj844, yhjj972",3607746797400,3607747812400,1015000
1170,3,yhjj998,5.0,"yhjj920, yhjj826, yhjj998, yhjj844, yhjj972",3607746968700,3607747022500,53800
1170,3,yhjj844,5.0,"yhjj920, yhjj826, yhjj998, yhjj844, yhjj972",3607747110000,3607747625700,515700
1170,3,yhjj972,5.0,"yhjj920, yhjj826, yhjj998, yhjj844, yhjj972",3607747122700,3607747324700,202000
1170,3,yhjj920,5.0,"yhjj920, yhjj826, yhjj998, yhjj844, yhjj972",3607747141900,3607747681600,539700
1170,3,yhjj841,2.0,"yhjj859, yhjj841",3607751729800,3607751773900,44100
1170,3,yhjj859,2.0,"yhjj859, yhjj841",3607752423700,3607752469800,46100
1170,3,yhjj905,3.0,"yhjj825, yhjj905, yhjj1000",3607753434100,3607753597300,163200
1170,3,yhjj1000,3.0,"yhjj825, yhjj905, yhjj1000",3607753705200,3607755051200,1346000
1170,3,yhjj825,3.0,"yhjj825, yhjj905, yhjj1000",3607753798800,3607753840700,41900
1170,3,yhjj847,6.0,"yhjj979, yhjj847, yhjj934, yhjj1016, yhjj915, yhjj897",3607759705400,3607759746900,41500
1170,4,yhjj934,6.0,"yhjj979, yhjj847, yhjj934, yhjj1016, yhjj915, yhjj897",3607759838100,3607759900500,62400
1170,4,yhjj1016,6.0,"yhjj979, yhjj847, yhjj934, yhjj1016, yhjj915, yhjj897",3607760121600,3607760163500,41900
1170,4,yhjj915,6.0,"yhjj979, yhjj847, yhjj934, yhjj1016, yhjj915, yhjj897",3607760476300,3607761155700,679400
1170,4,yhjj897,6.0,"yhjj979, yhjj847, yhjj934, yhjj1016, yhjj915, yhjj897",3607760698100,3607760744100,46000
1170,4,yhjj979,6.0,"yhjj979, yhjj847, yhjj934, yhjj1016, yhjj915, yhjj897",3607760861800,3607760994300,132500
1170,4,yhjj837,3.0,"yhjj865, yhjj837, yhjj1002",3607764837100,3607765566100,729000
1170,4,yhjj1002,3.0,"yhjj865, yhjj837, yhjj1002",3607764974100,3607765016100,42000
1170,4,yhjj865,3.0,"yhjj865, yhjj837, yhjj1002",3607765737900,3607765799100,61200
1170,4,yhjj899,7.0,"yhjj967, yhjj899, yhjj919, yhjj894, yhjj876, yhjj984, yhjj1018",3607766728900,3607767518400,789500
1170,4,yhjj919,7.0,"yhjj967, yhjj899, yhjj919, yhjj894, yhjj876, yhjj984, yhjj1018",3607766748300,3607769142400,2394100
1170,4,yhjj894,7.0,"yhjj967, yhjj899, yhjj919, yhjj894, yhjj876, yhjj984, yhjj1018",3607766827800,3607766886800,59000
1170,4,yhjj876,7.0,"yhjj967, yhjj899, yhjj919, yhjj894, yhjj876, yhjj984, yhjj1018",3607767183500,3607767315700,132200
1170,4,yhjj967,3.0,"yhjj1018, yhjj967, yhjj984",3607767364200,3607769504200,2140000
1170,4,yhjj984,3.0,"yhjj1018, yhjj967, yhjj984",3607769737000,3607769792200,55200
1170,4,yhjj1018,3.0,"yhjj1018, yhjj967, yhjj984",3607770185900,3607770224000,38100
1170,4,yhjj958,6.0,"yhjj908, yhjj958, yhjj928, yhjj858, yhjj846, yhjj885",3607774963100,3607775024800,61700
1170,4,yhjj928,6.0,"yhjj968, yhjj928, yhjj858, yhjj885, yhjj994, yhjj910",3607775279700,3607776241500,961800
1170,4,yhjj858,6.0,"yhjj968, yhjj928, yhjj858, yhjj885, yhjj994, yhjj910",3607775349200,3607776041400,692200
1170,4,yhjj846,6.0,"yhjj908, yhjj958, yhjj928, yhjj858, yhjj846, yhjj885",3607775446800,3607775488900,42100
1170,5,yhjj885,6.0,"yhjj968, yhjj928, yhjj858, yhjj885, yhjj994, yhjj910",3607775638300,3607776191400,553100
1170,5,yhjj908,6.0,"yhjj908, yhjj958, yhjj928, yhjj858, yhjj846, yhjj885",3607775684800,3607775736600,51800
1170,5,yhjj994,6.0,"yhjj968, yhjj928, yhjj858, yhjj885, yhjj994, yhjj910",3607775956400,3607776546300,589900
1170,5,yhjj910,2.0,"yhjj843, yhjj910",3607776060900,3607777920500,1859600
