roomNumber,bin,room_entry_sequence,sorted_sequence_position,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff
1170,1,4,4.0,yhjj849,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.951879+00:00,4,5.0,6.0,1.0
1170,1,5,5.0,yhjj848,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.950831+00:00,4,6.0,5.0,-1.0
1170,1,18,18.0,yhjj969,2025-07-12 06:02:15.978037+00:00,2025-07-12 06:02:15.982303+00:00,19,19.0,21.0,2.0
1170,1,19,19.0,yhjj833,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,18,20.0,19.0,-1.0
1170,1,20,20.0,yhjj950,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,18,21.0,20.0,-1.0
1170,2,24,24.0,yhjj842,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,23,25.0,26.0,1.0
1170,2,25,25.0,yhjj870,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,24,26.0,25.0,-1.0
1170,2,26,26.0,yhjj921,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,29,27.0,30.0,3.0
1170,2,27,27.0,yhjj820,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,26,28.0,32.0,4.0
1170,2,28,28.0,yhjj889,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,26,29.0,27.0,-2.0
1170,2,29,29.0,yhjj883,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,27,30.0,28.0,-2.0
1170,2,30,30.0,yhjj879,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,28,31.0,29.0,-2.0
1170,2,31,31.0,yhjj944,2025-07-12 06:02:15.993426+00:00,2025-07-12 06:02:15.993426+00:00,30,32.0,31.0,-1.0
1170,2,36,36.0,yhjj853,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.006072+00:00,36,37.0,38.0,1.0
1170,2,37,37.0,yhjj951,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.002057+00:00,36,38.0,37.0,-1.0
1170,3,48,48.0,yhjj826,2025-07-12 06:02:16.021469+00:00,2025-07-12 06:02:16.023479+00:00,48,49.0,53.0,4.0
1170,3,49,49.0,yhjj998,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,48,50.0,49.0,-1.0
1170,3,51,51.0,yhjj972,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,49,52.0,50.0,-2.0
1170,3,52,52.0,yhjj920,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,49,53.0,52.0,-1.0
1170,3,57,57.0,yhjj1000,2025-07-12 06:02:16.029511+00:00,2025-07-12 06:02:16.030518+00:00,57,58.0,59.0,1.0
1170,3,58,58.0,yhjj825,2025-07-12 06:02:16.029511+00:00,2025-07-12 06:02:16.029511+00:00,57,59.0,58.0,-1.0
1170,4,63,63.0,yhjj915,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.037662+00:00,65,64.0,66.0,2.0
1170,4,64,64.0,yhjj897,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.035649+00:00,63,65.0,64.0,-1.0
1170,4,65,65.0,yhjj979,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.035649+00:00,64,66.0,65.0,-1.0
1170,4,66,66.0,yhjj837,2025-07-12 06:02:16.040671+00:00,2025-07-12 06:02:16.040671+00:00,66,67.0,68.0,1.0
1170,4,67,67.0,yhjj1002,2025-07-12 06:02:16.040671+00:00,2025-07-12 06:02:16.040671+00:00,66,68.0,67.0,-1.0
1170,4,69,69.0,yhjj899,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,72,70.0,73.0,3.0
1170,4,70,70.0,yhjj919,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.044637+00:00,73,71.0,74.0,3.0
1170,4,71,71.0,yhjj894,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,69,72.0,70.0,-2.0
1170,4,72,72.0,yhjj876,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,70,73.0,71.0,-2.0
1170,4,73,73.0,yhjj967,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.045894+00:00,71,74.0,72.0,-2.0
1170,4,78,78.0,yhjj928,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,78,79.0,82.0,3.0
1170,4,79,79.0,yhjj858,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,78,80.0,79.0,-1.0
1170,4,80,80.0,yhjj846,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.050379+00:00,79,81.0,80.0,-1.0
1170,5,81,81.0,yhjj885,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,80,82.0,81.0,-1.0
1170,5,83,83.0,yhjj994,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.052389+00:00,83,84.0,85.0,1.0
1170,5,84,84.0,yhjj910,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.054401+00:00,85,85.0,86.0,1.0
1170,5,85,85.0,yhjj968,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.052389+00:00,83,86.0,84.0,-2.0
