roomNumber,bin,room_entry_sequence,sorted_sequence_position,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff
1170,1,4,4,yhjj849,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.951879+00:00,4,5,6,1
1170,1,5,5,yhjj848,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.950831+00:00,4,6,5,-1
1170,1,18,18,yhjj969,2025-07-12 06:02:15.978037+00:00,2025-07-12 06:02:15.982303+00:00,19,19,21,2
1170,1,19,19,yhjj833,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,18,20,19,-1
1170,1,20,20,yhjj950,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,18,21,20,-1
1170,2,24,24,yhjj842,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,23,25,26,1
1170,2,25,25,yhjj870,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,24,26,25,-1
1170,2,26,26,yhjj921,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,29,27,30,3
1170,2,27,27,yhjj820,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,26,28,32,4
1170,2,28,28,yhjj889,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,26,29,27,-2
1170,2,29,29,yhjj883,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,27,30,28,-2
1170,2,30,30,yhjj879,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,28,31,29,-2
1170,2,31,31,yhjj944,2025-07-12 06:02:15.993426+00:00,2025-07-12 06:02:15.993426+00:00,30,32,31,-1
1170,2,36,36,yhjj853,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.006072+00:00,36,37,38,1
1170,2,37,37,yhjj951,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.002057+00:00,36,38,37,-1
1170,3,48,48,yhjj826,2025-07-12 06:02:16.021469+00:00,2025-07-12 06:02:16.023479+00:00,48,49,53,4
1170,3,49,49,yhjj998,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,48,50,49,-1
1170,3,51,51,yhjj972,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,49,52,50,-2
1170,3,52,52,yhjj920,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,49,53,52,-1
1170,3,57,57,yhjj1000,2025-07-12 06:02:16.029511+00:00,2025-07-12 06:02:16.030518+00:00,57,58,59,1
1170,3,58,58,yhjj825,2025-07-12 06:02:16.029511+00:00,2025-07-12 06:02:16.029511+00:00,57,59,58,-1
1170,4,63,63,yhjj915,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.037662+00:00,65,64,66,2
1170,4,64,64,yhjj897,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.035649+00:00,63,65,64,-1
1170,4,65,65,yhjj979,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.035649+00:00,64,66,65,-1
1170,4,66,66,yhjj837,2025-07-12 06:02:16.040671+00:00,2025-07-12 06:02:16.040671+00:00,66,67,68,1
1170,4,67,67,yhjj1002,2025-07-12 06:02:16.040671+00:00,2025-07-12 06:02:16.040671+00:00,66,68,67,-1
1170,4,69,69,yhjj899,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,72,70,73,3
1170,4,70,70,yhjj919,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.044637+00:00,73,71,74,3
1170,4,71,71,yhjj894,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,69,72,70,-2
1170,4,72,72,yhjj876,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,70,73,71,-2
1170,4,73,73,yhjj967,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.045894+00:00,71,74,72,-2
1170,4,78,78,yhjj928,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,78,79,82,3
1170,4,79,79,yhjj858,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,78,80,79,-1
1170,4,80,80,yhjj846,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.050379+00:00,79,81,80,-1
1170,5,81,81,yhjj885,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,80,82,81,-1
1170,5,83,83,yhjj994,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.052389+00:00,83,84,85,1
