roomNumber,bin,room_entry_sequence,sorted_sequence_position,user_id,prev_entry_time,curr_entry_time,true_critical_section_start,true_critical_section_end,prev_people,curr_people,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff,anomaly_type,true_critical_section_duration,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos,contention_group_size,contention_user_ids,intervening_users_in_critical_section,intervening_user_count_critical
1243,1,1,0,yhjj840,2025-07-21 03:22:24.997998+00:00,2025-07-21 03:22:24.999005+00:00,,,1,2,0,0,0,,,2567700832400,2567701526500,694100,1,yhjj840,,0
1243,1,2,0,yhjj820,2025-07-21 03:22:24.999005+00:00,2025-07-21 03:22:24.999005+00:00,,,2,3,0,0,0,,,2567701934000,2567702147700,213700,1,yhjj820,,0
1243,1,3,0,yhjj848,2025-07-21 03:22:25.001011+00:00,2025-07-21 03:22:25.001011+00:00,,,3,4,0,0,0,,,2567703299900,2567704696200,1396300,1,yhjj848,,0
1243,1,4,0,yhjj832,2025-07-21 03:22:25.001011+00:00,2025-07-21 03:22:25.003018+00:00,,,4,5,0,0,0,,,2567704847100,2567705265000,417900,1,yhjj832,,0
1243,1,5,0,yhjj940,2025-07-21 03:22:25.003018+00:00,2025-07-21 03:22:25.003018+00:00,,,5,6,0,0,0,,,2567705367000,2567705633800,266800,1,yhjj940,,0
1243,1,6,0,yhjj836,2025-07-21 03:22:25.016807+00:00,2025-07-21 03:22:25.018813+00:00,,,6,7,0,0,0,,,2567719903200,2567722578500,2675300,1,yhjj836,,0
1243,1,7,0,yhjj827,2025-07-21 03:22:25.020820+00:00,2025-07-21 03:22:25.020820+00:00,,,7,8,0,0,0,,,2567724381700,2567724560400,178700,1,yhjj827,,0
1243,1,8,0,yhjj819,2025-07-21 03:22:25.023898+00:00,2025-07-21 03:22:25.023898+00:00,,,8,9,0,0,0,,,2567726800800,2567726999100,198300,1,yhjj819,,0
1243,1,9,0,yhjj889,2025-07-21 03:22:25.023898+00:00,2025-07-21 03:22:25.025905+00:00,,,9,10,0,0,0,,,2567727278200,2567729555300,2277100,1,yhjj889,,0
1243,1,10,0,yhjj872,2025-07-21 03:22:25.029919+00:00,2025-07-21 03:22:25.029919+00:00,,,10,11,0,0,0,,,2567732307000,2567732471000,164000,1,yhjj872,,0
1243,1,11,0,yhjj824,2025-07-21 03:22:25.036948+00:00,2025-07-21 03:22:25.036948+00:00,,,11,12,0,0,0,,,2567739965600,2567740107900,142300,1,yhjj824,,0
1243,1,12,0,yhjj997,2025-07-21 03:22:25.040962+00:00,2025-07-21 03:22:25.042968+00:00,,,12,13,0,0,0,,,2567744148300,2567745188000,1039700,1,yhjj997,,0
1243,1,13,0,yhjj823,2025-07-21 03:22:25.042968+00:00,2025-07-21 03:22:25.042968+00:00,,,13,14,0,0,0,,,2567745314400,2567745559300,244900,1,yhjj823,,0
1243,1,14,0,yhjj867,2025-07-21 03:22:25.044975+00:00,2025-07-21 03:22:25.048729+00:00,,,14,15,0,0,0,,,2567747860400,2567751626800,3766400,1,yhjj867,,0
1243,1,15,0,yhjj860,2025-07-21 03:22:25.048729+00:00,2025-07-21 03:22:25.048729+00:00,,,15,16,0,0,0,,,2567752164800,2567752312300,147500,1,yhjj860,,0
1243,1,16,0,yhjj908,2025-07-21 03:22:25.050735+00:00,2025-07-21 03:22:25.050735+00:00,,,16,17,0,0,0,,,2567754138900,2567754349800,210900,1,yhjj908,,0
1243,1,17,0,yhjj1013,2025-07-21 03:22:25.050735+00:00,2025-07-21 03:22:25.052739+00:00,,,17,18,0,0,0,,,2567754624400,2567755575700,951300,1,yhjj1013,,0
1243,1,18,0,yhjj912,2025-07-21 03:22:25.052739+00:00,2025-07-21 03:22:25.052739+00:00,,,18,19,0,0,0,,,2567755746600,2567756146500,399900,1,yhjj912,,0
1243,1,19,0,yhjj918,2025-07-21 03:22:25.052739+00:00,2025-07-21 03:22:25.052739+00:00,,,19,20,0,0,0,,,2567756302100,2567756574600,272500,1,yhjj918,,0
1243,1,20,0,yhjj835,2025-07-21 03:22:25.054746+00:00,2025-07-21 03:22:25.054746+00:00,,,20,21,0,0,0,,,2567756720600,2567757271600,551000,1,yhjj835,,0
1243,2,21,0,yhjj851,2025-07-21 03:22:25.054746+00:00,2025-07-21 03:22:25.054746+00:00,,,21,22,0,0,0,,,2567757473700,2567757814000,340300,1,yhjj851,,0
