roomNumber,bin,room_entry_sequence,user_id,curr_people,ideal_sequential_state,sequential_consistency_diff,max_people,join_result,sequential_consistency_violation,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1304,1,1,yhjj842,3,2,1,100,SUCCESS,True,1200168999400,1200170009900
1304,1,2,yhjj859,2,3,-1,100,SUCCESS,True,1200169297400,1200169917800
1310,1,2,yhjj824,4,3,1,100,SUCCESS,True,1694007442300,1694007603400
1310,1,3,yhjj850,3,4,-1,100,SUCCESS,True,1694007448600,1694007495700
1306,1,6,yhjj851,10,7,3,100,SUCCESS,True,1345763958700,1345766485200
1307,1,7,yhjj826,9,8,1,100,SUCCESS,True,1449343851900,1449348516200
1306,1,7,yhjj844,7,8,-1,100,SUCCESS,True,1345764509600,1345764655500
1306,1,8,yhjj852,8,9,-1,100,SUCCESS,True,1345764814200,1345765071200
1307,1,8,yhjj990,8,9,-1,100,SUCCESS,True,1449347613000,1449347745900
1302,1,9,yhjj862,12,10,2,100,SUCCESS,True,1038257255600,1038279886999
1306,1,9,yhjj832,14,10,4,100,SUCCESS,True,1345765286800,1345768209600
1302,1,10,yhjj874,10,11,-1,100,SUCCESS,True,1038262077200,1038262187200
1306,1,10,yhjj873,18,11,7,100,SUCCESS,True,1345765343400,1345769744400
1306,1,11,yhjj872,9,12,-3,100,SUCCESS,True,1345765567600,1345765685300
1302,1,11,yhjj872,11,12,-1,100,SUCCESS,True,1038262426999,1038262519500
1306,1,12,yhjj890,11,13,-2,100,SUCCESS,True,1345766611300,1345766788200
1306,1,13,yhjj859,12,14,-2,100,SUCCESS,True,1345767353000,1345767589100
1302,1,14,yhjj847,18,15,3,100,SUCCESS,True,1038297483000,1038300166000
1306,1,14,yhjj896,13,15,-2,100,SUCCESS,True,1345767549900,1345767680100
1306,1,15,yhjj850,15,16,-1,100,SUCCESS,True,1345768462100,1345768577000
1302,1,15,yhjj850,15,16,-1,100,SUCCESS,True,1038297672500,1038297800900
1306,1,16,yhjj821,16,17,-1,100,SUCCESS,True,1345768601500,1345768731000
1302,1,16,yhjj837,16,17,-1,100,SUCCESS,True,1038299393400,1038299545000
1302,1,17,yhjj852,19,18,1,100,SUCCESS,True,1038299445400,1038301975800
1306,1,17,yhjj970,17,18,-1,100,SUCCESS,True,1345769195300,1345769350100
1302,1,18,yhjj869,17,19,-2,100,SUCCESS,True,1038299623500,1038299871700
1304,1,20,yhjj862,22,21,1,100,SUCCESS,True,1200223249800,1200229358500
1306,1,20,yhjj846,23,21,2,100,SUCCESS,True,1345770236700,1345771366700
1304,2,21,yhjj898,21,22,-1,100,SUCCESS,True,1200228880300,1200228967600
1304,2,22,yhjj925,25,23,2,100,SUCCESS,True,1200237381500,1200239632200
1304,2,23,yhjj930,30,24,6,100,SUCCESS,True,1200237562000,1200264743300
1303,2,24,yhjj836,26,25,1,100,SUCCESS,True,1117021952400,1117022057900
1308,2,24,yhjj857,26,25,1,100,SUCCESS,True,1519107800000,1519108073800
1304,2,24,yhjj882,29,25,4,100,SUCCESS,True,1200237572900,1200259474500
1304,2,25,yhjj832,23,26,-3,100,SUCCESS,True,1200237885500,1200239013500
1301,2,25,yhjj889,27,26,1,100,SUCCESS,True,876808094800,876809026300
1308,2,25,yhjj941,25,26,-1,100,SUCCESS,True,1519107902400,1519107950100
1301,2,26,yhjj832,26,27,-1,100,SUCCESS,True,876808809500,876808898700
1304,2,26,yhjj897,24,27,-3,100,SUCCESS,True,1200239045000,1200239124600
1304,2,27,yhjj875,27,28,-1,100,SUCCESS,True,1200239993800,1200244338900
1304,2,28,yhjj970,26,29,-3,100,SUCCESS,True,1200240386400,1200240456200
1308,2,29,yhjj935,31,30,1,100,SUCCESS,True,1519113823700,1519114086000
1304,2,29,yhjj900,28,30,-2,100,SUCCESS,True,1200246195100,1200246274400
1308,2,30,yhjj827,30,31,-1,100,SUCCESS,True,1519113891600,1519113936200
1304,2,30,yhjj831,33,31,2,100,SUCCESS,True,1200247364200,1200285540900
1304,2,31,yhjj890,31,32,-1,100,SUCCESS,True,1200267465000,1200282369700
1305,2,31,yhjj879,37,32,5,100,SUCCESS,True,1255367193700,1255370914000
1305,2,32,yhjj909,32,33,-1,100,SUCCESS,True,1255367258400,1255367301300
1303,2,32,yhjj845,34,33,1,100,SUCCESS,True,1117032826400,1117035319300
1304,2,32,yhjj894,34,33,1,100,SUCCESS,True,1200282404800,1200286289500
1302,2,32,yhjj825,34,33,1,100,SUCCESS,True,1038374405800,1038374581900
1304,2,33,yhjj841,32,34,-2,100,SUCCESS,True,1200282725100,1200283401800
1303,2,33,yhjj958,33,34,-1,100,SUCCESS,True,1117033067700,1117035298600
1302,2,33,yhjj941,33,34,-1,100,SUCCESS,True,1038374457299,1038374542200
1305,2,33,yhjj823,33,34,-1,100,SUCCESS,True,1255367603000,1255367649600
1307,2,34,yhjj890,36,35,1,100,SUCCESS,True,1449393334100,1449393743000
1305,2,34,yhjj969,34,35,-1,100,SUCCESS,True,1255367934800,1255367980100
1307,2,35,yhjj853,35,36,-1,100,SUCCESS,True,1449393337100,1449393448500
1305,2,35,yhjj941,35,36,-1,100,SUCCESS,True,1255368059300,1255368116300
1305,2,36,yhjj965,36,37,-1,100,SUCCESS,True,1255370623400,1255370678600
1303,2,36,yhjj835,38,37,1,100,SUCCESS,True,1117040928900,1117041242800
1308,2,37,yhjj835,39,38,1,100,SUCCESS,True,1519120847300,1519121224000
1303,2,37,yhjj883,37,38,-1,100,SUCCESS,True,1117041062800,1117041135500
1302,2,38,yhjj856,40,39,1,100,SUCCESS,True,1038384921300,1038387125400
1301,2,38,yhjj913,40,39,1,100,SUCCESS,True,876843056300,876844174200
1307,2,38,yhjj827,40,39,1,100,SUCCESS,True,1449397893100,1449399515500
1308,2,38,yhjj871,38,39,-1,100,SUCCESS,True,1519120880700,1519121110200
1302,2,39,yhjj881,39,40,-1,100,SUCCESS,True,1038384973900,1038386822799
1301,2,39,yhjj822,39,40,-1,100,SUCCESS,True,876843426200,876843498600
1307,2,39,yhjj951,39,40,-1,100,SUCCESS,True,1449398089900,1449398273100
1306,3,42,yhjj883,45,43,2,100,SUCCESS,True,1345818579300,1345823029300
1306,3,43,yhjj889,43,44,-1,100,SUCCESS,True,1345818794700,1345818877600
1306,3,44,yhjj843,44,45,-1,100,SUCCESS,True,1345822713200,1345822826800
1305,3,45,yhjj998,47,46,1,100,SUCCESS,True,1255382053100,1255382451700
1305,3,46,yhjj930,46,47,-1,100,SUCCESS,True,1255382157400,1255382371000
1308,3,46,yhjj829,48,47,1,100,SUCCESS,True,1519132254600,1519132501500
1309,3,50,yhjj852,52,51,1,100,SUCCESS,True,1565120232200,1565120491300
1303,3,50,yhjj826,53,51,2,100,SUCCESS,True,1117073873400,1117074858500
1305,3,50,yhjj867,53,51,2,100,SUCCESS,True,1255382605200,1255386225100
1308,3,51,yhjj934,53,52,1,100,SUCCESS,True,1519137562300,1519138256000
1305,3,51,yhjj842,51,52,-1,100,SUCCESS,True,1255382727900,1255382881400
1303,3,51,yhjj913,51,52,-1,100,SUCCESS,True,1117074029400,1117074098600
1309,3,51,yhjj889,51,52,-1,100,SUCCESS,True,1565120312700,1565120357800
1305,3,52,yhjj844,52,53,-1,100,SUCCESS,True,1255385624300,1255385674700
1307,3,52,yhjj847,54,53,1,100,SUCCESS,True,1449468387400,1449468539700
1308,3,52,yhjj961,52,53,-1,100,SUCCESS,True,1519137794900,1519137853600
1303,3,52,yhjj951,52,53,-1,100,SUCCESS,True,1117074681600,1117074850200
1309,3,52,yhjj918,54,53,1,100,SUCCESS,True,1565120551800,1565121097600
1309,3,53,yhjj879,53,54,-1,100,SUCCESS,True,1565120786400,1565120900500
1307,3,53,yhjj836,53,54,-1,100,SUCCESS,True,1449468398700,1449468469100
1305,3,54,yhjj973,56,55,1,100,SUCCESS,True,1255390906400,1255391299400
1303,3,54,yhjj988,56,55,1,100,SUCCESS,True,1117075714400,1117076600200
1305,3,55,yhjj951,55,56,-1,100,SUCCESS,True,1255391181400,1255391234000
1303,3,55,yhjj940,55,56,-1,100,SUCCESS,True,1117075840500,1117075915900
1301,3,58,yhjj1006,60,59,1,100,SUCCESS,True,876870157100,876872196700
1301,3,59,yhjj952,59,60,-1,100,SUCCESS,True,876870384300,876870485400
1307,3,59,yhjj904,63,60,3,100,SUCCESS,True,1449491645400,1449492714800
1307,3,60,yhjj840,60,61,-1,100,SUCCESS,True,1449491648800,1449491697000
1307,4,61,yhjj833,61,62,-1,100,SUCCESS,True,1449492135200,1449492193700
1304,4,62,yhjj1004,65,63,2,100,SUCCESS,True,1200362336600,1200363782400
1307,4,62,yhjj858,62,63,-1,100,SUCCESS,True,1449492168900,1449492313700
1302,4,63,yhjj1009,67,64,3,100,SUCCESS,True,1038435645400,1038438075399
1305,4,64,yhjj877,66,65,1,100,SUCCESS,True,1255425008400,1255426152800
1302,4,64,yhjj969,66,65,1,100,SUCCESS,True,1038437162000,1038437864900
