roomNumber,bin,room_entry_sequence,user_id,prev_people,curr_people,max_people,join_result,anomaly_type,over_capacity_amount,over_capacity_curr,over_capacity_max,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1301,1,1,yhjj859,1,2,100,SUCCESS,,0,0,0,876677000000.0,876678000000.0
1301,1,2,yhjj840,2,3,100,SUCCESS,,0,0,0,876683000000.0,876683000000.0
1301,1,3,yhjj827,3,4,100,SUCCESS,,0,0,0,876699000000.0,876699000000.0
1301,1,4,yhjj903,4,5,100,SUCCESS,,0,0,0,876699000000.0,876700000000.0
1301,1,5,yhjj897,4,6,100,SUCCESS,,0,0,0,876699000000.0,876700000000.0
1301,1,6,yhjj842,6,7,100,SUCCESS,,0,0,0,876705000000.0,876705000000.0
1301,1,7,yhjj837,7,8,100,SUCCESS,,0,0,0,876707000000.0,876707000000.0
1301,1,8,yhjj836,8,9,100,SUCCESS,,0,0,0,876707000000.0,876707000000.0
1301,1,9,yhjj826,9,10,100,SUCCESS,,0,0,0,876710000000.0,876710000000.0
1301,1,10,yhjj830,10,11,100,SUCCESS,,0,0,0,876711000000.0,876711000000.0
1301,1,11,yhjj843,11,12,100,SUCCESS,,0,0,0,876726000000.0,876726000000.0
1301,1,12,yhjj825,12,13,100,SUCCESS,,0,0,0,876726000000.0,876726000000.0
1301,1,13,yhjj872,13,14,100,SUCCESS,,0,0,0,876736000000.0,876736000000.0
1301,1,14,yhjj954,14,15,100,SUCCESS,,0,0,0,876737000000.0,876737000000.0
1301,1,15,yhjj852,15,16,100,SUCCESS,,0,0,0,876742000000.0,876742000000.0
1301,1,16,yhjj893,16,17,100,SUCCESS,,0,0,0,876772000000.0,876773000000.0
1301,1,17,yhjj902,17,18,100,SUCCESS,,0,0,0,876783000000.0,876783000000.0
1301,1,18,yhjj896,18,19,100,SUCCESS,,0,0,0,876783000000.0,876783000000.0
1301,1,19,yhjj891,19,20,100,SUCCESS,,0,0,0,876796000000.0,876796000000.0
