roomNumber,bin,user_id,contention_group_size,contention_user_ids,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos
1181,1,yhjj831,1,yhjj831,26920496783300,26920496973800,190500
1181,1,yhjj824,1,yhjj824,26920497129100,26920497347000,217900
1181,1,yhjj856,1,yhjj856,26920497650400,26920497858100,207700
1181,1,yhjj819,1,yhjj819,26920498636300,26920498808300,172000
1181,1,yhjj820,1,yhjj820,26920517262400,26920517437500,175100
1181,1,yhjj887,1,yhjj887,26920519245400,26920519425400,180000
1181,1,yhjj875,1,yhjj875,26920519538600,26920519686300,147700
1181,1,yhjj878,1,yhjj878,26920525109300,26920525263800,154500
1181,1,yhjj879,1,yhjj879,26920525454700,26920525624500,169800
1181,1,yhjj829,1,yhjj829,26920525757800,26920526342700,584900
1181,1,yhjj993,1,yhjj993,26920526813300,26920527060500,247200
1181,1,yhjj832,1,yhjj832,26920527307300,26920527523600,216300
1181,1,yhjj864,1,yhjj864,26920544553000,26920544754700,201700
1181,1,yhjj854,1,yhjj854,26920545284600,26920545535700,251100
1181,1,yhjj846,1,yhjj846,26920546476800,26920546619500,142700
1181,1,yhjj874,1,yhjj874,26920547434400,26920547624600,190200
1181,1,yhjj996,1,yhjj996,26920548015200,26920548334600,319400
1181,1,yhjj869,1,yhjj869,26920549819700,26920550812500,992800
1181,1,yhjj880,1,yhjj880,26920554752600,26920555506000,753400
1181,1,yhjj976,1,yhjj976,26920556298300,26920556735700,437400
1181,2,yhjj821,1,yhjj821,26920556868100,26920557112800,244700
1181,2,yhjj900,1,yhjj900,26920560616900,26920560762200,145300
1181,2,yhjj845,1,yhjj845,26920563470400,26920563993900,523500
1181,2,yhjj838,1,yhjj838,26920580488000,26920580626300,138300
1181,2,yhjj1009,1,yhjj1009,26920580697200,26920581782500,1085300
1181,2,yhjj833,1,yhjj833,26920582237400,26920582371600,134200
1181,2,yhjj826,1,yhjj826,26920582577000,26920584919300,2342300
1181,2,yhjj822,1,yhjj822,26920585651400,26920585806200,154800
1181,2,yhjj1008,1,yhjj1008,26920586006700,26920586229400,222700
1181,2,yhjj1011,1,yhjj1011,26920595671500,26920595882900,211400
1181,2,yhjj859,1,yhjj859,26920598559400,26920599059800,500400
1181,2,yhjj825,1,yhjj825,26920599379500,26920599478500,99000
1181,2,yhjj932,1,yhjj932,26920599786300,26920599869200,82900
1181,2,yhjj901,1,yhjj901,26920599931300,26920600088300,157000
1181,2,yhjj860,1,yhjj860,26920600593100,26920600915500,322400
1181,2,yhjj861,1,yhjj861,26920601995200,26920603063500,1068300
1181,2,yhjj921,1,yhjj921,26920603514200,26920603712300,198100
1181,2,yhjj915,1,yhjj915,26920603766800,26920603877400,110600
1181,2,yhjj823,1,yhjj823,26920634834300,26920634895700,61400
1181,2,yhjj890,1,yhjj890,26920635110500,26920635211400,100900
1181,3,yhjj934,1,yhjj934,26920635353300,26920635717200,363900
1181,3,yhjj830,1,yhjj830,26920636474100,26920636575100,101000
1181,3,yhjj1016,1,yhjj1016,26920637955400,26920639306100,1350700
1181,3,yhjj892,1,yhjj892,26920639389300,26920639707000,317700
1181,3,yhjj862,1,yhjj862,26920639750900,26920639939100,188200
1181,3,yhjj906,1,yhjj906,26920640136400,26920640253500,117100
1181,3,yhjj844,1,yhjj844,26920640400700,26920640477600,76900
1181,3,yhjj941,1,yhjj941,26920640634600,26920640882000,247400
1181,3,yhjj849,1,yhjj849,26920641985400,26920642204800,219400
1181,3,yhjj918,1,yhjj918,26920642472400,26920642571900,99500
1181,3,yhjj841,1,yhjj841,26920642877900,26920642927300,49400
1181,3,yhjj847,1,yhjj847,26920643784300,26920643947300,163000
1181,3,yhjj902,1,yhjj902,26920644227400,26920644305400,78000
1181,3,yhjj928,1,yhjj928,26920644578500,26920646508000,1929500
1181,3,yhjj852,1,yhjj852,26920646612700,26920646706800,94100
1181,3,yhjj873,1,yhjj873,26920646852200,26920647588500,736300
1181,3,yhjj842,1,yhjj842,26920647779100,26920647927100,148000
1181,3,yhjj848,1,yhjj848,26920648436000,26920648551800,115800
1181,3,yhjj885,1,yhjj885,26920648950600,26920649047100,96500
1181,3,yhjj840,1,yhjj840,26920651411400,26920651592700,181300
1181,4,yhjj926,1,yhjj926,26920651723500,26920651908600,185100
1181,4,yhjj837,1,yhjj837,26920651963400,26920652230500,267100
1181,4,yhjj889,1,yhjj889,26920653130300,26920653271500,141200
1181,4,yhjj858,1,yhjj858,26920654262600,26920654317400,54800
1181,4,yhjj827,1,yhjj827,26920654425500,26920654498500,73000
1181,4,yhjj877,1,yhjj877,26920654668800,26920654746300,77500
1181,4,yhjj876,1,yhjj876,26920656887700,26920656989300,101600
1181,4,yhjj835,1,yhjj835,26920658800600,26920658855400,54800
1181,4,yhjj872,1,yhjj872,26920667536800,26920667589000,52200
1181,4,yhjj994,1,yhjj994,26920667754400,26920667826300,71900
1181,4,yhjj857,1,yhjj857,26920672084200,26920672164200,80000
1181,4,yhjj895,1,yhjj895,26920672228100,26920672326600,98500
1181,4,yhjj1005,1,yhjj1005,26920672353100,26920672428100,75000
1181,4,yhjj982,1,yhjj982,26920672915000,26920673001000,86000
1181,4,yhjj828,1,yhjj828,26920675248700,26920675296600,47900
1181,4,yhjj923,1,yhjj923,26920675550200,26920675592100,41900
1181,4,yhjj912,1,yhjj912,26920675958200,26920676012500,54300
1181,4,yhjj866,1,yhjj866,26920676461300,26920676512600,51300
1181,4,yhjj834,1,yhjj834,26920677470400,26920677532500,62100
1181,4,yhjj868,1,yhjj868,26920677670000,26920677725800,55800
1181,5,yhjj922,1,yhjj922,26920679185100,26920679230600,45500
1181,5,yhjj904,1,yhjj904,26920680652400,26920684178100,3525700
1181,5,yhjj853,1,yhjj853,26920684435500,26920684824000,388500
1181,5,yhjj870,1,yhjj870,26920685467000,26920685544700,77700
1181,5,yhjj919,1,yhjj919,26920685807400,26920685892500,85100
1181,5,yhjj855,1,yhjj855,26920686801700,26920687166700,365000
1181,5,yhjj888,1,yhjj888,26920687204500,26920687271000,66500
1181,5,yhjj886,1,yhjj886,26920687395900,26920687467100,71200
1181,5,yhjj955,1,yhjj955,26920687742000,26920687846200,104200
1181,5,yhjj903,1,yhjj903,26920690049500,26920690110500,61000
1181,5,yhjj881,1,yhjj881,26920694872900,26920694932100,59200
1181,5,yhjj843,1,yhjj843,26920695583400,26920695624900,41500
1181,5,yhjj850,1,yhjj850,26920701309800,26920701360100,50300
1181,5,yhjj963,1,yhjj963,26920713046100,26920713123600,77500
1181,5,yhjj913,1,yhjj913,26920717109400,26920717165400,56000
1181,5,yhjj910,1,yhjj910,26920717337900,26920717423600,85700
1181,5,yhjj916,1,yhjj916,26920717676300,26920717738500,62200
1181,5,yhjj1003,1,yhjj1003,26920719637500,26920719692800,55300
1181,5,yhjj883,1,yhjj883,26920719772800,26920719810900,38100
1181,5,yhjj908,1,yhjj908,26920727432000,26920727452100,20100
1181,6,yhjj839,1,yhjj839,26920728249400,26920728270400,21000
1181,6,yhjj961,1,yhjj961,26920731985700,26920732009600,23900
1181,6,yhjj942,1,yhjj942,26920732192800,26920732226600,33800
1181,6,yhjj925,1,yhjj925,26920732588500,26920732606400,17900
1181,6,yhjj970,1,yhjj970,26920733358400,26920733377900,19500
1181,6,yhjj945,1,yhjj945,26920736073200,26920736126700,53500
1181,6,yhjj953,1,yhjj953,26920739347800,26920739370000,22200
1181,6,yhjj946,1,yhjj946,26920739891000,26920739909400,18400
1181,6,yhjj1007,1,yhjj1007,26920741264000,26920741287600,23600
1181,6,yhjj959,1,yhjj959,26920750352700,26920750390000,37300
1181,6,yhjj917,1,yhjj917,26920753193200,26920753218200,25000
1181,6,yhjj944,1,yhjj944,26920758203100,26920758226500,23400
1181,6,yhjj1013,1,yhjj1013,26920758866300,26920758886500,20200
1181,6,yhjj998,1,yhjj998,26920760284900,26920760307300,22400
1181,6,yhjj930,1,yhjj930,26920760575900,26920760612600,36700
1181,6,yhjj964,1,yhjj964,26920761832000,26920761853900,21900
