roomNumber,bin,room_entry_sequence,user_id,prev_entry_time,curr_entry_time,prev_people,curr_people,expected_people,max_people,anomaly_type,over_capacity_amount,over_capacity_curr,over_capacity_max,true_critical_section_start,true_critical_section_end,true_critical_section_duration,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos,contention_group_size,contention_user_ids,intervening_users_in_critical_section,intervening_user_count_critical
1181,1,1,yhjj831,2025-07-17 08:52:18.774802+00:00,2025-07-17 08:52:18.774802+00:00,1,2,2.0,100,,0,0,0,,,,26920496783300,26920496973800,190500,1,yhjj831,,0
1181,1,2,yhjj824,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,2,3,3.0,100,,0,0,0,,,,26920497129100,26920497347000,217900,1,yhjj824,,0
1181,1,3,yhjj856,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,3,4,4.0,100,,0,0,0,,,,26920497650400,26920497858100,207700,1,yhjj856,,0
1181,1,4,yhjj819,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,4,5,5.0,100,,0,0,0,,,,26920498636300,26920498808300,172000,1,yhjj819,,0
1181,1,5,yhjj820,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,5,6,6.0,100,,0,0,0,,,,26920517262400,26920517437500,175100,1,yhjj820,,0
1181,1,6,yhjj887,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,6,7,7.0,100,,0,0,0,,,,26920519245400,26920519425400,180000,1,yhjj887,,0
1181,1,7,yhjj875,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,7,8,8.0,100,,0,0,0,,,,26920519538600,26920519686300,147700,1,yhjj875,,0
1181,1,8,yhjj878,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.803670+00:00,8,9,9.0,100,,0,0,0,,,,26920525109300,26920525263800,154500,1,yhjj878,,0
1181,1,9,yhjj879,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.803670+00:00,9,10,10.0,100,,0,0,0,,,,26920525454700,26920525624500,169800,1,yhjj879,,0
1181,1,10,yhjj829,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.805997+00:00,10,11,11.0,100,,0,0,0,,,,26920525757800,26920526342700,584900,1,yhjj829,,0
1181,1,11,yhjj993,2025-07-17 08:52:18.806562+00:00,2025-07-17 08:52:18.806562+00:00,11,12,12.0,100,,0,0,0,,,,26920526813300,26920527060500,247200,1,yhjj993,,0
1181,1,12,yhjj832,2025-07-17 08:52:18.806562+00:00,2025-07-17 08:52:18.806562+00:00,12,13,13.0,100,,0,0,0,,,,26920527307300,26920527523600,216300,1,yhjj832,,0
1181,1,13,yhjj864,2025-07-17 08:52:18.823753+00:00,2025-07-17 08:52:18.823753+00:00,13,14,14.0,100,,0,0,0,,,,26920544553000,26920544754700,201700,1,yhjj864,,0
1181,1,14,yhjj854,2025-07-17 08:52:18.824754+00:00,2025-07-17 08:52:18.824754+00:00,14,15,15.0,100,,0,0,0,,,,26920545284600,26920545535700,251100,1,yhjj854,,0
1181,1,15,yhjj846,2025-07-17 08:52:18.825754+00:00,2025-07-17 08:52:18.825754+00:00,15,16,16.0,100,,0,0,0,,,,26920546476800,26920546619500,142700,1,yhjj846,,0
1181,1,16,yhjj874,2025-07-17 08:52:18.826754+00:00,2025-07-17 08:52:18.826754+00:00,16,17,17.0,100,,0,0,0,,,,26920547434400,26920547624600,190200,1,yhjj874,,0
1181,1,17,yhjj996,2025-07-17 08:52:18.827752+00:00,2025-07-17 08:52:18.827752+00:00,17,18,18.0,100,,0,0,0,,,,26920548015200,26920548334600,319400,1,yhjj996,,0
