roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,room_entry_sequence,join_result,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1170,1,yhjj828,1,2,2,100,1,SUCCESS,2025-07-12 06:02:15.932842+00:00,2025-07-12 06:02:15.932842+00:00,3.60766E+12,3.60766E+12
1170,1,yhjj932,2,3,3,100,2,SUCCESS,2025-07-12 06:02:15.945854+00:00,2025-07-12 06:02:15.945854+00:00,3.60767E+12,3.60767E+12
1170,1,yhjj1006,3,4,4,100,3,SUCCESS,2025-07-12 06:02:15.945854+00:00,2025-07-12 06:02:15.945854+00:00,3.60767E+12,3.60767E+12
1170,1,yhjj849,4,6,5,100,4,SUCCESS,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.951879+00:00,3.60767E+12,3.60768E+12
1170,1,yhjj848,4,5,5,100,5,SUCCESS,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.950831+00:00,3.60767E+12,3.60768E+12
1170,1,yhjj845,6,7,7,100,6,SUCCESS,2025-07-12 06:02:15.952882+00:00,2025-07-12 06:02:15.952882+00:00,3.60768E+12,3.60768E+12
1170,1,yhjj839,7,8,8,100,7,SUCCESS,2025-07-12 06:02:15.953879+00:00,2025-07-12 06:02:15.953879+00:00,3.60768E+12,3.60768E+12
1170,1,yhjj854,8,9,9,100,8,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3.60768E+12,3.60768E+12
1170,1,yhjj881,9,10,10,100,9,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3.60768E+12,3.60768E+12
1170,1,yhjj823,10,11,11,100,10,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3.60768E+12,3.60768E+12
1170,1,yhjj850,11,12,12,100,11,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.957251+00:00,3.60768E+12,3.60768E+12
1170,1,yhjj946,12,13,13,100,12,SUCCESS,2025-07-12 06:02:15.960401+00:00,2025-07-12 06:02:15.962488+00:00,3.60768E+12,3.60769E+12
1170,1,yhjj824,13,14,14,100,13,SUCCESS,2025-07-12 06:02:15.962488+00:00,2025-07-12 06:02:15.962488+00:00,3.60769E+12,3.60769E+12
1170,1,yhjj917,14,15,15,100,14,SUCCESS,2025-07-12 06:02:15.968620+00:00,2025-07-12 06:02:15.968620+00:00,3.60769E+12,3.60769E+12
1170,1,yhjj868,15,16,16,100,15,SUCCESS,2025-07-12 06:02:15.972467+00:00,2025-07-12 06:02:15.972467+00:00,3.6077E+12,3.6077E+12
1170,1,yhjj822,16,17,17,100,16,SUCCESS,2025-07-12 06:02:15.972467+00:00,2025-07-12 06:02:15.972467+00:00,3.6077E+12,3.6077E+12
1170,1,yhjj976,17,18,18,100,17,SUCCESS,2025-07-12 06:02:15.978037+00:00,2025-07-12 06:02:15.982303+00:00,3.60771E+12,3.60771E+12
1170,1,yhjj969,19,21,20,100,18,SUCCESS,2025-07-12 06:02:15.978037+00:00,2025-07-12 06:02:15.982303+00:00,3.60771E+12,3.60771E+12
1170,1,yhjj833,18,19,19,100,19,SUCCESS,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,3.60771E+12,3.60771E+12
1170,1,yhjj950,18,20,19,100,20,SUCCESS,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,3.60771E+12,3.60771E+12
1170,2,yhjj872,20,22,21,100,21,SUCCESS,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,3.60771E+12,3.60771E+12
1170,2,yhjj852,22,23,23,100,22,SUCCESS,2025-07-12 06:02:15.985642+00:00,2025-07-12 06:02:15.985642+00:00,3.60771E+12,3.60771E+12
1170,2,yhjj918,23,24,24,100,23,SUCCESS,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3.60771E+12,3.60771E+12
1170,2,yhjj842,23,26,24,100,24,SUCCESS,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3.60771E+12,3.60771E+12
1170,2,yhjj870,24,25,25,100,25,SUCCESS,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3.60771E+12,3.60771E+12
1170,2,yhjj921,29,30,30,100,26,SUCCESS,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,3.60771E+12,3.60772E+12
1170,2,yhjj820,26,32,27,100,27,SUCCESS,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,3.60771E+12,3.60772E+12
1170,2,yhjj889,26,27,27,100,28,SUCCESS,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3.60771E+12,3.60771E+12
1170,2,yhjj883,27,28,28,100,29,SUCCESS,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,3.60772E+12,3.60772E+12
1170,2,yhjj879,28,29,29,100,30,SUCCESS,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,3.60772E+12,3.60772E+12
1170,2,yhjj944,30,31,31,100,31,SUCCESS,2025-07-12 06:02:15.993426+00:00,2025-07-12 06:02:15.993426+00:00,3.60772E+12,3.60772E+12
1170,2,yhjj930,32,33,33,100,32,SUCCESS,2025-07-12 06:02:15.995752+00:00,2025-07-12 06:02:15.995752+00:00,3.60772E+12,3.60772E+12
1170,2,yhjj896,33,34,34,100,33,SUCCESS,2025-07-12 06:02:15.997826+00:00,2025-07-12 06:02:15.997826+00:00,3.60772E+12,3.60772E+12
1170,2,yhjj827,34,35,35,100,34,SUCCESS,2025-07-12 06:02:16.000048+00:00,2025-07-12 06:02:16.000048+00:00,3.60773E+12,3.60773E+12
1170,2,yhjj970,35,36,36,100,35,SUCCESS,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.002057+00:00,3.60773E+12,3.60773E+12
1170,2,yhjj853,36,38,37,100,36,SUCCESS,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.006072+00:00,3.60773E+12,3.60773E+12
1170,2,yhjj951,36,37,37,100,37,SUCCESS,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.002057+00:00,3.60773E+12,3.60773E+12
1170,2,yhjj887,38,39,39,100,38,SUCCESS,2025-07-12 06:02:16.004063+00:00,2025-07-12 06:02:16.006072+00:00,3.60773E+12,3.60773E+12
1170,2,yhjj832,39,40,40,100,39,SUCCESS,2025-07-12 06:02:16.008080+00:00,2025-07-12 06:02:16.008080+00:00,3.60773E+12,3.60773E+12
1170,2,yhjj925,40,41,41,100,40,SUCCESS,2025-07-12 06:02:16.008080+00:00,2025-07-12 06:02:16.008080+00:00,3.60773E+12,3.60773E+12
1170,3,yhjj929,41,42,42,100,41,SUCCESS,2025-07-12 06:02:16.008080+00:00,2025-07-12 06:02:16.008080+00:00,3.60773E+12,3.60773E+12
1170,3,yhjj856,42,43,43,100,42,SUCCESS,2025-07-12 06:02:16.011548+00:00,2025-07-12 06:02:16.011548+00:00,3.60774E+12,3.60774E+12
1170,3,yhjj886,43,44,44,100,43,SUCCESS,2025-07-12 06:02:16.011548+00:00,2025-07-12 06:02:16.011548+00:00,3.60774E+12,3.60774E+12
1170,3,yhjj990,44,45,45,100,44,SUCCESS,2025-07-12 06:02:16.015439+00:00,2025-07-12 06:02:16.015439+00:00,3.60774E+12,3.60774E+12
1170,3,yhjj959,45,46,46,100,45,SUCCESS,2025-07-12 06:02:16.015439+00:00,2025-07-12 06:02:16.015439+00:00,3.60774E+12,3.60774E+12
1170,3,yhjj963,46,47,47,100,46,SUCCESS,2025-07-12 06:02:16.017449+00:00,2025-07-12 06:02:16.017449+00:00,3.60774E+12,3.60774E+12
1170,3,yhjj988,47,48,48,100,47,SUCCESS,2025-07-12 06:02:16.019460+00:00,2025-07-12 06:02:16.019460+00:00,3.60774E+12,3.60774E+12
1170,3,yhjj826,48,53,49,100,48,SUCCESS,2025-07-12 06:02:16.021469+00:00,2025-07-12 06:02:16.023479+00:00,3.60775E+12,3.60775E+12
1170,3,yhjj998,48,49,49,100,49,SUCCESS,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,3.60775E+12,3.60775E+12
1170,3,yhjj844,49,51,50,100,50,SUCCESS,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,3.60775E+12,3.60775E+12
1170,3,yhjj972,49,50,50,100,51,SUCCESS,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,3.60775E+12,3.60775E+12
