roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,room_entry_sequence,join_result,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1181,1,yhjj831,1,2,2.0,100,1,SUCCESS,2025-07-17 08:52:18.774802+00:00,2025-07-17 08:52:18.774802+00:00,26920496783300,26920496973800
1181,1,yhjj824,2,3,3.0,100,2,SUCCESS,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,26920497129100,26920497347000
1181,1,yhjj856,3,4,4.0,100,3,SUCCESS,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,26920497650400,26920497858100
1181,1,yhjj819,4,5,5.0,100,4,SUCCESS,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,26920498636300,26920498808300
1181,1,yhjj820,5,6,6.0,100,5,SUCCESS,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,26920517262400,26920517437500
1181,1,yhjj887,6,7,7.0,100,6,SUCCESS,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,26920519245400,26920519425400
1181,1,yhjj875,7,8,8.0,100,7,SUCCESS,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,26920519538600,26920519686300
1181,1,yhjj878,8,9,9.0,100,8,SUCCESS,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.803670+00:00,26920525109300,26920525263800
1181,1,yhjj879,9,10,10.0,100,9,SUCCESS,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.803670+00:00,26920525454700,26920525624500
1181,1,yhjj829,10,11,11.0,100,10,SUCCESS,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.805997+00:00,26920525757800,26920526342700
1181,1,yhjj993,11,12,12.0,100,11,SUCCESS,2025-07-17 08:52:18.806562+00:00,2025-07-17 08:52:18.806562+00:00,26920526813300,26920527060500
1181,1,yhjj832,12,13,13.0,100,12,SUCCESS,2025-07-17 08:52:18.806562+00:00,2025-07-17 08:52:18.806562+00:00,26920527307300,26920527523600
1181,1,yhjj864,13,14,14.0,100,13,SUCCESS,2025-07-17 08:52:18.823753+00:00,2025-07-17 08:52:18.823753+00:00,26920544553000,26920544754700
1181,1,yhjj854,14,15,15.0,100,14,SUCCESS,2025-07-17 08:52:18.824754+00:00,2025-07-17 08:52:18.824754+00:00,26920545284600,26920545535700
1181,1,yhjj846,15,16,16.0,100,15,SUCCESS,2025-07-17 08:52:18.825754+00:00,2025-07-17 08:52:18.825754+00:00,26920546476800,26920546619500
1181,1,yhjj874,16,17,17.0,100,16,SUCCESS,2025-07-17 08:52:18.826754+00:00,2025-07-17 08:52:18.826754+00:00,26920547434400,26920547624600
1181,1,yhjj996,17,18,18.0,100,17,SUCCESS,2025-07-17 08:52:18.827752+00:00,2025-07-17 08:52:18.827752+00:00,26920548015200,26920548334600
1181,1,yhjj869,18,19,19.0,100,18,SUCCESS,2025-07-17 08:52:18.828753+00:00,2025-07-17 08:52:18.829753+00:00,26920549819700,26920550812500
1181,1,yhjj880,19,20,20.0,100,19,SUCCESS,2025-07-17 08:52:18.833752+00:00,2025-07-17 08:52:18.834754+00:00,26920554752600,26920555506000
1181,1,yhjj976,20,21,21.0,100,20,SUCCESS,2025-07-17 08:52:18.835753+00:00,2025-07-17 08:52:18.835753+00:00,26920556298300,26920556735700
1181,2,yhjj821,21,22,22.0,100,21,SUCCESS,2025-07-17 08:52:18.835753+00:00,2025-07-17 08:52:18.836753+00:00,26920556868100,26920557112800
1181,2,yhjj900,22,23,23.0,100,22,SUCCESS,2025-07-17 08:52:18.839752+00:00,2025-07-17 08:52:18.839752+00:00,26920560616900,26920560762200
1181,2,yhjj845,23,24,24.0,100,23,SUCCESS,2025-07-17 08:52:18.842753+00:00,2025-07-17 08:52:18.843753+00:00,26920563470400,26920563993900
1181,2,yhjj838,24,25,25.0,100,24,SUCCESS,2025-07-17 08:52:18.859753+00:00,2025-07-17 08:52:18.859753+00:00,26920580488000,26920580626300
1181,2,yhjj1009,25,26,26.0,100,25,SUCCESS,2025-07-17 08:52:18.859753+00:00,2025-07-17 08:52:18.860754+00:00,26920580697200,26920581782500
1181,2,yhjj833,26,27,27.0,100,26,SUCCESS,2025-07-17 08:52:18.861753+00:00,2025-07-17 08:52:18.861753+00:00,26920582237400,26920582371600
1181,2,yhjj826,27,28,28.0,100,27,SUCCESS,2025-07-17 08:52:18.861753+00:00,2025-07-17 08:52:18.863752+00:00,26920582577000,26920584919300
1181,2,yhjj822,28,29,29.0,100,28,SUCCESS,2025-07-17 08:52:18.864754+00:00,2025-07-17 08:52:18.864754+00:00,26920585651400,26920585806200
1181,2,yhjj1008,29,30,30.0,100,29,SUCCESS,2025-07-17 08:52:18.865753+00:00,2025-07-17 08:52:18.865753+00:00,26920586006700,26920586229400
1181,2,yhjj1011,30,31,31.0,100,30,SUCCESS,2025-07-17 08:52:18.874754+00:00,2025-07-17 08:52:18.874754+00:00,26920595671500,26920595882900
1181,2,yhjj859,31,32,32.0,100,31,SUCCESS,2025-07-17 08:52:18.877753+00:00,2025-07-17 08:52:18.878755+00:00,26920598559400,26920599059800
1181,2,yhjj825,32,33,33.0,100,32,SUCCESS,2025-07-17 08:52:18.878755+00:00,2025-07-17 08:52:18.878755+00:00,26920599379500,26920599478500
1181,2,yhjj932,33,34,34.0,100,33,SUCCESS,2025-07-17 08:52:18.878755+00:00,2025-07-17 08:52:18.878755+00:00,26920599786300,26920599869200
1181,2,yhjj901,34,35,35.0,100,34,SUCCESS,2025-07-17 08:52:18.879752+00:00,2025-07-17 08:52:18.879752+00:00,26920599931300,26920600088300
1181,2,yhjj860,35,36,36.0,100,35,SUCCESS,2025-07-17 08:52:18.879752+00:00,2025-07-17 08:52:18.879752+00:00,26920600593100,26920600915500
1181,2,yhjj861,36,37,37.0,100,36,SUCCESS,2025-07-17 08:52:18.881753+00:00,2025-07-17 08:52:18.882754+00:00,26920601995200,26920603063500
