roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,anomaly_type,room_entry_sequence,lost_update_expected,lost_update_actual,lost_update_diff,contention_group_size,contention_user_ids,over_capacity_amount,over_capacity_curr,over_capacity_max,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff,sorted_sequence_position,intervening_users_in_critical_section,intervening_user_count_critical,true_critical_section_duration_nanos
1170,1,yhjj849,4,6,5.0,100,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.951879+00:00,3607674712400,3607675247500,"값 불일치, 경합 발생 오류, 상태 전이 오류",4,5.0,6.0,1.0,2,"yhjj848, yhjj849",,,,5.0,6.0,1.0,4.0,yhjj848,1,535100
1170,1,yhjj848,4,5,5.0,100,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.950831+00:00,3607674774600,3607675174500,"경합 발생 오류, 상태 전이 오류",5,,,,2,"yhjj848, yhjj849",,,,6.0,5.0,-1.0,5.0,yhjj849,1,399900
1170,1,yhjj854,8,9,9.0,100,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3607679174000,3607679368000,경합 발생 오류,8,,,,2,"yhjj881, yhjj854",,,,,,,,yhjj881,1,194000
1170,1,yhjj881,9,10,10.0,100,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3607679295000,3607679704300,경합 발생 오류,9,,,,2,"yhjj881, yhjj854",,,,,,,,yhjj854,1,409300
1170,1,yhjj868,15,16,16.0,100,2025-07-12 06:02:15.972467+00:00,2025-07-12 06:02:15.972467+00:00,3607697607000,3607697912400,경합 발생 오류,15,,,,2,"yhjj822, yhjj868",,,,,,,,yhjj822,1,305400
1170,1,yhjj822,16,17,17.0,100,2025-07-12 06:02:15.972467+00:00,2025-07-12 06:02:15.972467+00:00,3607697862000,3607698059100,경합 발생 오류,16,,,,2,"yhjj822, yhjj868",,,,,,,,yhjj868,1,197100
1170,1,yhjj976,17,18,18.0,100,2025-07-12 06:02:15.978037+00:00,2025-07-12 06:02:15.982303+00:00,3607705533400,3607705948900,경합 발생 오류,17,,,,5,"yhjj950, yhjj976, yhjj969, yhjj833, yhjj872",,,,,,,,"yhjj969, yhjj833, yhjj950",3,415500
1170,1,yhjj969,19,21,20.0,100,2025-07-12 06:02:15.978037+00:00,2025-07-12 06:02:15.982303+00:00,3607705664900,3607706693200,"값 불일치, 경합 발생 오류, 상태 전이 오류",18,20.0,21.0,1.0,4,"yhjj872, yhjj969, yhjj833, yhjj950",,,,19.0,21.0,2.0,18.0,"yhjj976, yhjj833, yhjj950, yhjj872",4,1028300
1170,1,yhjj833,18,19,19.0,100,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,3607705779800,3607706449900,"경합 발생 오류, 상태 전이 오류",19,,,,4,"yhjj872, yhjj969, yhjj833, yhjj950",,,,20.0,19.0,-1.0,19.0,"yhjj976, yhjj969, yhjj950, yhjj872",4,670100
1170,1,yhjj950,18,20,19.0,100,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,3607705843800,3607706307800,"값 불일치, 경합 발생 오류, 상태 전이 오류",20,19.0,20.0,1.0,4,"yhjj872, yhjj969, yhjj833, yhjj950",,,,21.0,20.0,-1.0,20.0,"yhjj976, yhjj969, yhjj833, yhjj872",4,464000
