roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,anomaly_type,room_entry_sequence,lost_update_expected,lost_update_actual,lost_update_diff,contention_group_size,contention_user_ids,over_capacity_amount,over_capacity_curr,over_capacity_max,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff,sorted_sequence_position,intervening_users_in_critical_section,intervening_user_count_critical,true_critical_section_duration_nanos
1243,1,yhjj840,1,2,2.0,100,2025-07-21 03:22:24.997998+00:00,2025-07-21 03:22:24.999005+00:00,2567700832400,2567701526500,,1,0,0,0,1,yhjj840,0,0,0,0,0,0,0,,0,694100
1243,1,yhjj820,2,3,3.0,100,2025-07-21 03:22:24.999005+00:00,2025-07-21 03:22:24.999005+00:00,2567701934000,2567702147700,,2,0,0,0,1,yhjj820,0,0,0,0,0,0,0,,0,213700
1243,1,yhjj848,3,4,4.0,100,2025-07-21 03:22:25.001011+00:00,2025-07-21 03:22:25.001011+00:00,2567703299900,2567704696200,,3,0,0,0,1,yhjj848,0,0,0,0,0,0,0,,0,1396300
1243,1,yhjj832,4,5,5.0,100,2025-07-21 03:22:25.001011+00:00,2025-07-21 03:22:25.003018+00:00,2567704847100,2567705265000,,4,0,0,0,1,yhjj832,0,0,0,0,0,0,0,,0,417900
1243,1,yhjj940,5,6,6.0,100,2025-07-21 03:22:25.003018+00:00,2025-07-21 03:22:25.003018+00:00,2567705367000,2567705633800,,5,0,0,0,1,yhjj940,0,0,0,0,0,0,0,,0,266800
1243,1,yhjj836,6,7,7.0,100,2025-07-21 03:22:25.016807+00:00,2025-07-21 03:22:25.018813+00:00,2567719903200,2567722578500,,6,0,0,0,1,yhjj836,0,0,0,0,0,0,0,,0,2675300
1243,1,yhjj827,7,8,8.0,100,2025-07-21 03:22:25.020820+00:00,2025-07-21 03:22:25.020820+00:00,2567724381700,2567724560400,,7,0,0,0,1,yhjj827,0,0,0,0,0,0,0,,0,178700
1243,1,yhjj819,8,9,9.0,100,2025-07-21 03:22:25.023898+00:00,2025-07-21 03:22:25.023898+00:00,2567726800800,2567726999100,,8,0,0,0,1,yhjj819,0,0,0,0,0,0,0,,0,198300
1243,1,yhjj889,9,10,10.0,100,2025-07-21 03:22:25.023898+00:00,2025-07-21 03:22:25.025905+00:00,2567727278200,2567729555300,,9,0,0,0,1,yhjj889,0,0,0,0,0,0,0,,0,2277100
1243,1,yhjj872,10,11,11.0,100,2025-07-21 03:22:25.029919+00:00,2025-07-21 03:22:25.029919+00:00,2567732307000,2567732471000,,10,0,0,0,1,yhjj872,0,0,0,0,0,0,0,,0,164000
1243,1,yhjj824,11,12,12.0,100,2025-07-21 03:22:25.036948+00:00,2025-07-21 03:22:25.036948+00:00,2567739965600,2567740107900,,11,0,0,0,1,yhjj824,0,0,0,0,0,0,0,,0,142300
1243,1,yhjj997,12,13,13.0,100,2025-07-21 03:22:25.040962+00:00,2025-07-21 03:22:25.042968+00:00,2567744148300,2567745188000,,12,0,0,0,1,yhjj997,0,0,0,0,0,0,0,,0,1039700
