roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,anomaly_type,room_entry_sequence,lost_update_expected,lost_update_actual,lost_update_diff,contention_group_size,contention_user_ids,over_capacity_amount,over_capacity_curr,over_capacity_max,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff,sorted_sequence_position,intervening_users_in_critical_section,intervening_user_count_critical,true_critical_section_duration_nanos
1181,1,yhjj831,1,2,2.0,100,2025-07-17 08:52:18.774802+00:00,2025-07-17 08:52:18.774802+00:00,26920496783300,26920496973800,,1,0,0,0,1,yhjj831,0,0,0,0,0,0,0,,0,190500
1181,1,yhjj824,2,3,3.0,100,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,26920497129100,26920497347000,,2,0,0,0,1,yhjj824,0,0,0,0,0,0,0,,0,217900
1181,1,yhjj856,3,4,4.0,100,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,26920497650400,26920497858100,,3,0,0,0,1,yhjj856,0,0,0,0,0,0,0,,0,207700
1181,1,yhjj819,4,5,5.0,100,2025-07-17 08:52:18.776810+00:00,2025-07-17 08:52:18.776810+00:00,26920498636300,26920498808300,,4,0,0,0,1,yhjj819,0,0,0,0,0,0,0,,0,172000
1181,1,yhjj820,5,6,6.0,100,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,26920517262400,26920517437500,,5,0,0,0,1,yhjj820,0,0,0,0,0,0,0,,0,175100
1181,1,yhjj887,6,7,7.0,100,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,26920519245400,26920519425400,,6,0,0,0,1,yhjj887,0,0,0,0,0,0,0,,0,180000
1181,1,yhjj875,7,8,8.0,100,2025-07-17 08:52:18.796220+00:00,2025-07-17 08:52:18.796220+00:00,26920519538600,26920519686300,,7,0,0,0,1,yhjj875,0,0,0,0,0,0,0,,0,147700
1181,1,yhjj878,8,9,9.0,100,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.803670+00:00,26920525109300,26920525263800,,8,0,0,0,1,yhjj878,0,0,0,0,0,0,0,,0,154500
1181,1,yhjj879,9,10,10.0,100,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.803670+00:00,26920525454700,26920525624500,,9,0,0,0,1,yhjj879,0,0,0,0,0,0,0,,0,169800
1181,1,yhjj829,10,11,11.0,100,2025-07-17 08:52:18.803670+00:00,2025-07-17 08:52:18.805997+00:00,26920525757800,26920526342700,,10,0,0,0,1,yhjj829,0,0,0,0,0,0,0,,0,584900
1181,1,yhjj993,11,12,12.0,100,2025-07-17 08:52:18.806562+00:00,2025-07-17 08:52:18.806562+00:00,26920526813300,26920527060500,,11,0,0,0,1,yhjj993,0,0,0,0,0,0,0,,0,247200
1181,1,yhjj832,12,13,13.0,100,2025-07-17 08:52:18.806562+00:00,2025-07-17 08:52:18.806562+00:00,26920527307300,26920527523600,,12,0,0,0,1,yhjj832,0,0,0,0,0,0,0,,0,216300
1181,1,yhjj864,13,14,14.0,100,2025-07-17 08:52:18.823753+00:00,2025-07-17 08:52:18.823753+00:00,26920544553000,26920544754700,,13,0,0,0,1,yhjj864,0,0,0,0,0,0,0,,0,201700
1181,1,yhjj854,14,15,15.0,100,2025-07-17 08:52:18.824754+00:00,2025-07-17 08:52:18.824754+00:00,26920545284600,26920545535700,,14,0,0,0,1,yhjj854,0,0,0,0,0,0,0,,0,251100
