roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,room_entry_sequence,join_result,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_epochNano_start,true_critical_section_nanoTime_end,true_critical_section_epochNano_end
1051,1,yhjj967,1,2,2,100,1,SUCCESS,2025-07-03 10:33:46.324493200+00:00,2025-07-03T10:33:46.324493200Z,23997875287100,1751538826324377300,23997875483000.0,1.7515388263245732e+18
1051,1,yhjj862,2,3,3,100,2,SUCCESS,2025-07-03 10:33:46.324493200+00:00,2025-07-03T10:33:46.325492Z,23997875838700,1751538826324928900,23997876678400.0,1.7515388263257687e+18
1051,1,yhjj919,3,4,4,100,3,SUCCESS,2025-07-03 10:33:46.325492+00:00,2025-07-03T10:33:46.325492Z,23997876761500,1751538826325851700,23997877011400.0,1.7515388263261015e+18
1051,1,yhjj980,4,5,5,100,4,SUCCESS,2025-07-03 10:33:46.330493500+00:00,2025-07-03T10:33:46.331493400Z,23997881966500,1751538826331056700,23997882175600.0,1.7515388263312658e+18
1051,1,yhjj989,5,6,6,100,5,SUCCESS,2025-07-03 10:33:46.372135300+00:00,2025-07-03T10:33:46.373133Z,23997923628900,1751538826372719100,23997923812100.0,1.7515388263729024e+18
1051,1,yhjj1003,6,7,7,100,6,SUCCESS,2025-07-03 10:33:46.373133+00:00,2025-07-03T10:33:46.373133Z,23997923793000,1751538826372883200,23997924399700.0,1.75153882637349e+18
1051,1,yhjj977,6,8,7,100,7,SUCCESS,2025-07-03 10:33:46.373133+00:00,2025-07-03T10:33:46.373133Z,23997923944700,1751538826373034900,23997924224700.0,1.7515388263733148e+18
1051,1,yhjj830,8,9,9,100,8,SUCCESS,2025-07-03 10:33:46.373133+00:00,2025-07-03T10:33:46.373133Z,23997923835600,1751538826372925800,23997924476300.0,1.7515388263735665e+18
1051,1,yhjj1002,8,10,9,100,9,SUCCESS,2025-07-03 10:33:46.373133+00:00,2025-07-03T10:33:46.373133Z,23997924205500,1751538826373295700,23997924521200.0,1.7515388263736115e+18
1051,1,yhjj855,10,13,11,100,10,SUCCESS,2025-07-03 10:33:46.374135600+00:00,2025-07-03T10:33:46.384604900Z,23997925123600,1751538826374213800,23997936520900.0,1.751538826385611e+18
1051,1,yhjj850,10,11,11,100,11,SUCCESS,2025-07-03 10:33:46.374135600+00:00,2025-07-03T10:33:46.375737600Z,23997925221200,1751538826374311400,23997926660300.0,1.7515388263757504e+18
1051,1,yhjj846,11,12,12,100,12,SUCCESS,2025-07-03 10:33:46.375134900+00:00,2025-07-03T10:33:46.375737600Z,23997926240400,1751538826375330600,23997926381400.0,1.7515388263754716e+18
1051,1,yhjj1001,13,14,14,100,13,SUCCESS,2025-07-03 10:33:46.380590700+00:00,2025-07-03T10:33:46.380590700Z,23997931919200,1751538826381009400,23997932183600.0,1.7515388263812739e+18
1051,1,yhjj854,14,15,15,100,14,SUCCESS,2025-07-03 10:33:46.386611100+00:00,2025-07-03T10:33:46.390628300Z,23997938927600,1751538826388017800,23997941830800.0,1.751538826390921e+18
1051,1,yhjj914,15,16,16,100,15,SUCCESS,2025-07-03 10:33:46.397632400+00:00,2025-07-03T10:33:46.397632400Z,23997948557200,1751538826397647400,23997948709900.0,1.7515388263978002e+18
1051,1,yhjj848,16,24,17,100,16,SUCCESS,2025-07-03 10:33:46.397632400+00:00,2025-07-03T10:33:46.400632600Z,23997948931000,1751538826398021200,23997953153900.0,1.751538826402244e+18
1051,1,yhjj961,16,17,17,100,17,SUCCESS,2025-07-03 10:33:46.397632400+00:00,2025-07-03T10:33:46.400632600Z,23997948969400,1751538826398059600,23997952678400.0,1.7515388264017687e+18
