roomNumber,bin,user_id,room_entry_sequence,join_result,waiting_start_time,waiting_start_nanoTime,waiting_start_epochNano,waiting_start_event_type,critical_enter_time,critical_enter_nanoTime,critical_enter_epochNano,critical_enter_event_type,critical_leave_time,critical_leave_nanoTime,critical_leave_epochNano,critical_leave_event_type,increment_before_time,increment_before_nanoTime,increment_before_epochNano,increment_after_time,increment_after_nanoTime,increment_after_epochNano
1243,1.0,yhjj840,4.0,SUCCESS,2025-07-21 03:22:24.997998600+00:00,2567700543500,1753068144997718272,PRE_JOIN_ATTEMPT,2025-07-21 03:22:24.997998600+00:00,2567700832400,1753068144998007296,CRITICAL_ENTER_EVENT,2025-07-21 03:22:24.999005800+00:00,2567701526500,1753068144998701312,SUCCESS,2025-07-21 03:22:24.997998600+00:00,2567700950400,1753068144998125312,2025-07-21 03:22:24.999005800+00:00,2567701466000,1753068144998640896
1243,1.0,yhjj820,3.0,SUCCESS,2025-07-21 03:22:24.997998600+00:00,2567700399300,1753068144997574144,PRE_JOIN_ATTEMPT,2025-07-21 03:22:24.999005800+00:00,2567701934000,1753068144999108864,CRITICAL_ENTER_EVENT,2025-07-21 03:22:24.999005800+00:00,2567702147700,1753068144999322624,SUCCESS,2025-07-21 03:22:24.999005800+00:00,2567702056400,1753068144999231232,2025-07-21 03:22:24.999005800+00:00,2567702104600,1753068144999279360
1243,1.0,yhjj848,1.0,SUCCESS,2025-07-21 03:22:24.997998600+00:00,2567700377100,1753068144997551872,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.001011500+00:00,2567703299900,1753068145000474624,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.001011500+00:00,2567704696200,1753068145001871104,SUCCESS,2025-07-21 03:22:25.001011500+00:00,2567704207700,1753068145001382400,2025-07-21 03:22:25.001011500+00:00,2567704263900,1753068145001438720
1243,1.0,yhjj832,2.0,SUCCESS,2025-07-21 03:22:24.997998600+00:00,2567700377300,1753068144997552128,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.001011500+00:00,2567704847100,1753068145002021888,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.003018200+00:00,2567705265000,1753068145002439680,SUCCESS,2025-07-21 03:22:25.003018200+00:00,2567705146100,1753068145002320896,2025-07-21 03:22:25.003018200+00:00,2567705218600,1753068145002393344
1243,1.0,yhjj940,5.0,SUCCESS,2025-07-21 03:22:24.997998600+00:00,2567700599300,1753068144997774080,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.003018200+00:00,2567705367000,1753068145002541824,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.003018200+00:00,2567705633800,1753068145002808576,SUCCESS,2025-07-21 03:22:25.003018200+00:00,2567705516500,1753068145002691328,2025-07-21 03:22:25.003018200+00:00,2567705589800,1753068145002764544
1243,1.0,yhjj836,6.0,SUCCESS,2025-07-21 03:22:25.016807400+00:00,2567719151400,1753068145016326144,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.016807400+00:00,2567719903200,1753068145017078016,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.018813+00:00,2567722578500,1753068145019753216,SUCCESS,2025-07-21 03:22:25.016807400+00:00,2567720112900,1753068145017287680,2025-07-21 03:22:25.018813+00:00,2567721041700,1753068145018216448
1243,1.0,yhjj827,7.0,SUCCESS,2025-07-21 03:22:25.020820200+00:00,2567724321600,1753068145021496320,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.020820200+00:00,2567724381700,1753068145021556480,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.020820200+00:00,2567724560400,1753068145021735168,SUCCESS,2025-07-21 03:22:25.020820200+00:00,2567724465600,1753068145021640448,2025-07-21 03:22:25.020820200+00:00,2567724515300,1753068145021690112
1243,1.0,yhjj819,8.0,SUCCESS,2025-07-21 03:22:25.023898500+00:00,2567726736500,1753068145023911424,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.023898500+00:00,2567726800800,1753068145023975680,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.023898500+00:00,2567726999100,1753068145024173824,SUCCESS,2025-07-21 03:22:25.023898500+00:00,2567726875900,1753068145024050688,2025-07-21 03:22:25.023898500+00:00,2567726912800,1753068145024087552
1243,1.0,yhjj889,9.0,SUCCESS,2025-07-21 03:22:25.023898500+00:00,2567727215200,1753068145024389888,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.023898500+00:00,2567727278200,1753068145024453120,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.025905300+00:00,2567729555300,1753068145026729984,SUCCESS,2025-07-21 03:22:25.025905300+00:00,2567728025700,1753068145025200384,2025-07-21 03:22:25.025905300+00:00,2567729472600,1753068145026647296
1243,1.0,yhjj872,10.0,SUCCESS,2025-07-21 03:22:25.029919600+00:00,2567732216700,1753068145029391616,PRE_JOIN_ATTEMPT,2025-07-21 03:22:25.029919600+00:00,2567732307000,1753068145029481728,CRITICAL_ENTER_EVENT,2025-07-21 03:22:25.029919600+00:00,2567732471000,1753068145029645824,SUCCESS,2025-07-21 03:22:25.029919600+00:00,2567732385200,1753068145029560064,2025-07-21 03:22:25.029919600+00:00,2567732424800,1753068145029599488
