roomNumber,bin,room_entry_sequence,user_id,join_result,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1301,1.0,1.0,yhjj859,SUCCESS,876677229200,876677854700
1301,1.0,2.0,yhjj840,SUCCESS,876683089700,876683337800
1301,1.0,3.0,yhjj827,SUCCESS,876699103900,876699342100
1301,1.0,4.0,yhjj903,SUCCESS,876699407400,876699544900
1301,1.0,5.0,yhjj897,SUCCESS,876699441500,876699824600
1301,1.0,6.0,yhjj842,SUCCESS,876704906200,876705018600
1301,1.0,7.0,yhjj837,SUCCESS,876706532200,876706685600
1301,1.0,8.0,yhjj836,SUCCESS,876706965300,876707092800
1301,1.0,9.0,yhjj826,SUCCESS,876710300300,876710416900
1301,1.0,10.0,yhjj830,SUCCESS,876711379200,876711496400
1301,1.0,11.0,yhjj843,SUCCESS,876725874900,876725996500
1301,1.0,12.0,yhjj825,SUCCESS,876726220200,876726322300
1301,1.0,13.0,yhjj872,SUCCESS,876736076500,876736334100
1301,1.0,14.0,yhjj954,SUCCESS,876736553800,876736848600
1301,1.0,15.0,yhjj852,SUCCESS,876741607500,876741821900
1301,1.0,16.0,yhjj893,SUCCESS,876772265100,876772559700
1301,1.0,17.0,yhjj902,SUCCESS,876782988700,876783077900
1301,1.0,18.0,yhjj896,SUCCESS,876783291900,876783377900
1301,1.0,19.0,yhjj891,SUCCESS,876795740200,876795837100
1301,1.0,20.0,yhjj922,SUCCESS,876799323200,876799416300
1301,2.0,21.0,yhjj847,SUCCESS,876800648400,876800759900
1301,2.0,22.0,yhjj899,SUCCESS,876801420000,876801522700
1301,2.0,23.0,yhjj839,SUCCESS,876806909500,876807024600
1301,2.0,24.0,yhjj846,SUCCESS,876807404100,876808683600
1301,2.0,25.0,yhjj889,SUCCESS,876808094800,876809026300
1301,2.0,26.0,yhjj832,SUCCESS,876808809500,876808898700
1301,2.0,27.0,yhjj876,SUCCESS,876815081400,876815217700
1301,2.0,28.0,yhjj996,SUCCESS,876818751400,876818831300
1301,2.0,29.0,yhjj828,SUCCESS,876820544700,876820619400
1301,2.0,30.0,yhjj845,SUCCESS,876820996700,876821067600
1301,2.0,31.0,yhjj874,SUCCESS,876823772300,876823880300
1301,2.0,32.0,yhjj991,SUCCESS,876824682100,876824771600
1301,2.0,33.0,yhjj1002,SUCCESS,876829295000,876829386400
1301,2.0,34.0,yhjj924,SUCCESS,876830050400,876830619500
1301,2.0,35.0,yhjj904,SUCCESS,876831232000,876831294500
1301,2.0,36.0,yhjj1015,SUCCESS,876835170600,876835256000
1301,2.0,37.0,yhjj1008,SUCCESS,876835363000,876835448100
1301,2.0,38.0,yhjj913,SUCCESS,876843056300,876844174200
1301,2.0,39.0,yhjj822,SUCCESS,876843426200,876843498600
1301,2.0,40.0,yhjj912,SUCCESS,876848888100,876848958300
1301,3.0,41.0,yhjj882,SUCCESS,876848934200,876849087300
1301,3.0,42.0,yhjj937,SUCCESS,876849368100,876849617700
1301,3.0,43.0,yhjj853,SUCCESS,876849465200,876849810400
1301,3.0,44.0,yhjj994,SUCCESS,876850676600,876850835700
1301,3.0,45.0,yhjj858,SUCCESS,876850848600,876850902900
1301,3.0,46.0,yhjj923,SUCCESS,876852986400,876853055500
1301,3.0,47.0,yhjj953,SUCCESS,876854516100,876854604100
1301,3.0,48.0,yhjj870,SUCCESS,876854736700,876854811900
1301,3.0,49.0,yhjj995,SUCCESS,876855902200,876855977600
1301,3.0,50.0,yhjj969,SUCCESS,876858109600,876858194900
1301,3.0,51.0,yhjj981,SUCCESS,876858234600,876858348700
1301,3.0,52.0,yhjj886,SUCCESS,876862088800,876862251600
1301,3.0,53.0,yhjj861,SUCCESS,876863582200,876863644300
1301,3.0,54.0,yhjj910,SUCCESS,876865863800,876865938300
1301,3.0,55.0,yhjj976,SUCCESS,876866697300,876866766800
1301,3.0,56.0,yhjj857,SUCCESS,876869564000,876869630100
1301,3.0,57.0,yhjj863,SUCCESS,876869734900,876869881300
1301,3.0,58.0,yhjj1006,SUCCESS,876870157100,876872196700
1301,3.0,59.0,yhjj952,SUCCESS,876870384300,876870485400
1301,3.0,60.0,yhjj864,SUCCESS,876872431800,876872495800
1301,4.0,61.0,yhjj1003,SUCCESS,876872907800,876873075400
1301,4.0,62.0,yhjj855,SUCCESS,876875649900,876875712100
1301,4.0,63.0,yhjj915,SUCCESS,876875916800,876875964300
1301,4.0,64.0,yhjj862,SUCCESS,876877006200,876878525200
1301,4.0,65.0,yhjj928,SUCCESS,876877167500,876877230200
1301,4.0,66.0,yhjj823,SUCCESS,876877944500,876878006100
1301,4.0,67.0,yhjj841,SUCCESS,876880362100,876880432500
1301,4.0,68.0,yhjj909,SUCCESS,876880754700,876880922200
1301,4.0,69.0,yhjj962,SUCCESS,876880809200,876881171900
1301,4.0,70.0,yhjj894,SUCCESS,876880878400,876881006900
1301,4.0,71.0,yhjj892,SUCCESS,876881137700,876881198700
