roomNumber,bin,user_id,room_entry_sequence,join_result,waiting_start_time,waiting_start_nanoTime,waiting_start_epochNano,waiting_start_event_type,critical_enter_time,critical_enter_nanoTime,critical_enter_epochNano,critical_enter_event_type,critical_leave_time,critical_leave_nanoTime,critical_leave_epochNano,critical_leave_event_type,increment_before_time,increment_before_nanoTime,increment_before_epochNano,increment_after_time,increment_after_nanoTime,increment_after_epochNano
1181,1.0,yhjj831,1.0,SUCCESS,2025-07-17 08:52:18.774802300+00:00,26920496404600,1752742338775832320,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.774802300+00:00,26920496783300,1752742338776210944,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.774802300+00:00,26920496973800,1752742338776401408,SUCCESS,2025-07-17 08:52:18.774802300+00:00,26920496884200,1752742338776311808,2025-07-17 08:52:18.774802300+00:00,26920496923800,1752742338776351488
1181,1.0,yhjj824,2.0,SUCCESS,2025-07-17 08:52:18.774802300+00:00,26920496404900,1752742338775832576,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.776810100+00:00,26920497129100,1752742338776556800,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.776810100+00:00,26920497347000,1752742338776774656,SUCCESS,2025-07-17 08:52:18.776810100+00:00,26920497261300,1752742338776688896,2025-07-17 08:52:18.776810100+00:00,26920497307500,1752742338776735232
1181,1.0,yhjj856,3.0,SUCCESS,2025-07-17 08:52:18.776810100+00:00,26920497211500,1752742338776639232,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.776810100+00:00,26920497650400,1752742338777078016,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.776810100+00:00,26920497858100,1752742338777285888,SUCCESS,2025-07-17 08:52:18.776810100+00:00,26920497791000,1752742338777218816,2025-07-17 08:52:18.776810100+00:00,26920497825900,1752742338777253632
1181,1.0,yhjj819,4.0,SUCCESS,2025-07-17 08:52:18.776810100+00:00,26920498557000,1752742338777984768,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.776810100+00:00,26920498636300,1752742338778063872,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.776810100+00:00,26920498808300,1752742338778235904,SUCCESS,2025-07-17 08:52:18.776810100+00:00,26920498726000,1752742338778153728,2025-07-17 08:52:18.776810100+00:00,26920498768400,1752742338778196224
1181,1.0,yhjj820,5.0,SUCCESS,2025-07-17 08:52:18.796220900+00:00,26920517179200,1752742338796606976,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.796220900+00:00,26920517262400,1752742338796690176,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.796220900+00:00,26920517437500,1752742338796865280,SUCCESS,2025-07-17 08:52:18.796220900+00:00,26920517359300,1752742338796786944,2025-07-17 08:52:18.796220900+00:00,26920517399700,1752742338796827392
1181,1.0,yhjj887,6.0,SUCCESS,2025-07-17 08:52:18.796220900+00:00,26920519077400,1752742338798505216,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.796220900+00:00,26920519245400,1752742338798673152,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.796220900+00:00,26920519425400,1752742338798853120,SUCCESS,2025-07-17 08:52:18.796220900+00:00,26920519351900,1752742338798779648,2025-07-17 08:52:18.796220900+00:00,26920519390200,1752742338798817792
1181,1.0,yhjj875,7.0,SUCCESS,2025-07-17 08:52:18.796220900+00:00,26920519478800,1752742338798906624,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.796220900+00:00,26920519538600,1752742338798966272,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.796220900+00:00,26920519686300,1752742338799113984,SUCCESS,2025-07-17 08:52:18.796220900+00:00,26920519611900,1752742338799039488,2025-07-17 08:52:18.796220900+00:00,26920519646700,1752742338799074304
1181,1.0,yhjj878,9.0,SUCCESS,2025-07-17 08:52:18.803670900+00:00,26920525061900,1752742338804489728,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.803670900+00:00,26920525109300,1752742338804537088,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.803670900+00:00,26920525263800,1752742338804691456,SUCCESS,2025-07-17 08:52:18.803670900+00:00,26920525179200,1752742338804606976,2025-07-17 08:52:18.803670900+00:00,26920525225100,1752742338804652800
1181,1.0,yhjj879,8.0,SUCCESS,2025-07-17 08:52:18.803670900+00:00,26920524975400,1752742338804403200,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.803670900+00:00,26920525454700,1752742338804882432,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.803670900+00:00,26920525624500,1752742338805052160,SUCCESS,2025-07-17 08:52:18.803670900+00:00,26920525546100,1752742338804973824,2025-07-17 08:52:18.803670900+00:00,26920525590900,1752742338805018624
1181,1.0,yhjj829,11.0,SUCCESS,2025-07-17 08:52:18.803670900+00:00,26920525450300,1752742338804878080,PRE_JOIN_ATTEMPT,2025-07-17 08:52:18.803670900+00:00,26920525757800,1752742338805185536,CRITICAL_ENTER_EVENT,2025-07-17 08:52:18.805997500+00:00,26920526342700,1752742338805770496,SUCCESS,2025-07-17 08:52:18.805997500+00:00,26920526252200,1752742338805679872,2025-07-17 08:52:18.805997500+00:00,26920526303700,1752742338805731328
