roomNumber,bin,room_entry_sequence,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_people,curr_people,lost_update_diff
1170,1,4,yhjj849,,,4,5.0,6,1.0
1170,1,18,yhjj969,,,19,20.0,21,1.0
1170,1,20,yhjj950,,,18,19.0,20,1.0
1170,2,21,yhjj872,,,20,21.0,22,1.0
1170,2,24,yhjj842,,,23,24.0,26,2.0
1170,2,27,yhjj820,,,26,27.0,32,5.0
1170,2,36,yhjj853,,,36,37.0,38,1.0
1170,3,48,yhjj826,,,48,49.0,53,4.0
1170,3,50,yhjj844,,,49,50.0,51,1.0
1170,3,52,yhjj920,,,49,50.0,52,2.0
1170,3,57,yhjj1000,,,57,58.0,59,1.0
1170,4,66,yhjj837,,,66,67.0,68,1.0
1170,4,78,yhjj928,,,78,79.0,82,3.0
1170,5,82,yhjj908,,,81,82.0,83,1.0
1170,5,83,yhjj994,,,83,84.0,85,1.0
1171,1,4,yhjj834,,,4,5.0,6,1.0
1171,1,13,yhjj863,,,12,13.0,14,1.0
1171,1,18,yhjj822,,,17,18.0,19,1.0
1171,4,61,yhjj847,,,62,63.0,65,2.0
1171,4,64,yhjj825,,,62,63.0,64,1.0
1171,5,88,yhjj919,,,88,89.0,90,1.0
1171,5,90,yhjj930,,,88,89.0,91,2.0
1171,5,97,yhjj1005,,,96,97.0,98,1.0
1172,1,14,yhjj867,,,13,14.0,15,1.0
1172,2,29,yhjj965,,,28,29.0,30,1.0
1172,2,30,yhjj829,,,30,31.0,32,1.0
1172,3,53,yhjj998,,,52,53.0,54,1.0
1172,3,60,yhjj946,,,59,60.0,61,1.0
1172,4,61,yhjj967,,,59,60.0,62,2.0
1172,5,88,yhjj930,,,89,90.0,91,1.0
1173,2,21,yhjj899,,,20,21.0,22,1.0
1173,2,24,yhjj960,,,24,25.0,26,1.0
1173,2,33,yhjj892,,,32,33.0,34,1.0
1173,2,37,yhjj887,,,36,37.0,38,1.0
1173,2,39,yhjj891,,,38,39.0,40,1.0
1173,3,45,yhjj954,,,44,45.0,46,1.0
1173,3,48,yhjj890,,,48,49.0,50,1.0
1173,3,59,yhjj918,,,57,58.0,60,2.0
1173,5,85,yhjj819,,,84,85.0,86,1.0
1173,5,91,yhjj947,,,90,91.0,93,2.0
1173,5,94,yhjj836,,,94,95.0,99,4.0
1174,1,18,yhjj850,,,18,19.0,20,1.0
1174,2,40,yhjj972,,,39,40.0,41,1.0
1174,3,43,yhjj857,,,42,43.0,45,2.0
1174,3,44,yhjj863,,,42,43.0,44,1.0
1174,3,48,yhjj906,,,47,48.0,49,1.0
1174,3,54,yhjj933,,,53,54.0,55,1.0
1174,4,63,yhjj829,,,62,63.0,64,1.0
1174,4,71,yhjj948,,,72,73.0,75,2.0
1174,4,80,yhjj912,,,79,80.0,81,1.0
1174,5,84,yhjj891,,,84,85.0,86,1.0
1174,5,88,yhjj984,,,88,89.0,90,1.0
1174,5,92,yhjj928,,,92,93.0,94,1.0
1175,2,33,yhjj843,,,33,34.0,35,1.0
1175,3,55,yhjj985,,,55,56.0,57,1.0
1175,4,63,yhjj848,,,63,64.0,65,1.0
1175,4,67,yhjj956,,,67,68.0,69,1.0
1175,4,75,yhjj863,,,75,76.0,78,2.0
1175,5,81,yhjj948,,,80,81.0,82,1.0
1175,5,82,yhjj909,,,80,81.0,83,2.0
1175,5,83,yhjj944,,,80,81.0,84,3.0
1175,5,84,yhjj977,,,84,85.0,86,1.0
1175,5,90,yhjj852,,,89,90.0,91,1.0
1176,2,38,yhjj1016,,,37,38.0,39,1.0
1176,2,40,yhjj933,,,39,40.0,41,1.0
1176,3,42,yhjj960,,,41,42.0,43,1.0
1176,3,44,yhjj852,,,44,45.0,46,1.0
1176,3,47,yhjj839,,,46,47.0,48,1.0
1176,3,49,yhjj863,,,49,50.0,51,1.0
1176,3,53,yhjj934,,,53,54.0,55,1.0
1176,3,55,yhjj859,,,54,55.0,56,1.0
1176,3,56,yhjj993,,,54,55.0,57,2.0
1176,4,65,yhjj980,,,65,66.0,67,1.0
1176,4,66,yhjj922,,,65,66.0,68,2.0
1176,5,82,yhjj910,,,81,82.0,84,2.0
1176,5,85,yhjj988,,,84,85.0,86,1.0
1176,5,96,yhjj916,,,94,95.0,98,3.0
1176,5,97,yhjj975,,,99,100.0,101,1.0
1176,5,100,yhjj976,,,97,98.0,99,1.0
1177,1,18,yhjj852,,,17,18.0,19,1.0
1177,2,22,yhjj977,,,21,22.0,23,1.0
1177,2,38,yhjj932,,,37,38.0,39,1.0
1177,2,40,yhjj868,,,39,40.0,41,1.0
1177,3,52,yhjj830,,,52,53.0,54,1.0
1177,3,54,yhjj841,,,53,54.0,55,1.0
1177,3,59,yhjj859,,,58,59.0,60,1.0
1177,4,63,yhjj974,,,62,63.0,64,1.0
1177,4,69,yhjj883,,,69,70.0,71,1.0
1177,4,71,yhjj891,,,70,71.0,72,1.0
1177,4,76,yhjj847,,,75,76.0,78,2.0
1177,4,77,yhjj889,,,75,76.0,77,1.0
1177,5,81,yhjj998,,,80,81.0,82,1.0
1177,5,85,yhjj853,,,84,85.0,87,2.0
1177,5,86,yhjj999,,,84,85.0,86,1.0
1177,5,89,yhjj1009,,,89,90.0,91,1.0
1177,5,92,yhjj925,,,92,93.0,94,1.0
1177,5,96,yhjj870,,,96,97.0,98,1.0
1177,5,98,yhjj993,,,97,98.0,99,1.0
1178,2,27,yhjj838,,,26,27.0,28,1.0
1178,2,40,yhjj970,,,39,40.0,41,1.0
1178,3,53,yhjj886,,,52,53.0,54,1.0
1178,4,67,yhjj918,,,67,68.0,69,1.0
1178,4,71,yhjj1017,,,71,72.0,73,1.0
1178,4,74,yhjj987,,,74,75.0,76,1.0
1178,4,79,yhjj930,,,79,80.0,82,2.0
1178,5,85,yhjj902,,,84,85.0,87,2.0
1178,5,86,yhjj875,,,84,85.0,88,3.0
1178,5,89,yhjj834,,,89,90.0,93,3.0
1178,5,90,yhjj870,,,90,91.0,92,1.0
1178,5,91,yhjj868,,,89,90.0,91,1.0
1178,5,94,yhjj934,,,94,95.0,96,1.0
1179,2,26,yhjj925,,,26,27.0,28,1.0
1179,3,42,yhjj913,,,41,42.0,43,1.0
1179,3,43,yhjj934,,,43,44.0,45,1.0
1179,3,45,yhjj862,,,45,46.0,47,1.0
1179,3,50,yhjj827,,,49,50.0,51,1.0
1179,4,64,yhjj906,,,63,64.0,65,1.0
1179,4,67,yhjj871,,,67,68.0,69,1.0
1179,4,70,yhjj977,,,69,70.0,71,1.0
1179,4,77,yhjj1012,,,75,76.0,77,1.0
1179,5,87,yhjj945,,,86,87.0,88,1.0
1179,5,90,yhjj982,,,88,89.0,90,1.0
1179,5,91,yhjj888,,,90,91.0,94,3.0
1179,5,94,yhjj966,,,93,94.0,95,1.0
1179,5,95,yhjj995,,,94,95.0,96,1.0
1179,5,98,yhjj915,,,97,98.0,99,1.0
1179,5,99,yhjj983,,,97,98.0,100,2.0
