roomNumber,bin,user_id,contention_group_size,contention_user_ids,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos
1179,1,yhjj828,2,"yhjj839, yhjj828",4859236951600,4859237103600,152000
1179,1,yhjj839,2,"yhjj839, yhjj828",4859236970400,4859237012400,42000
1179,2,yhjj925,2,"yhjj856, yhjj925",4859278486900,4859278591300,104400
1179,2,yhjj856,2,"yhjj856, yhjj925",4859278500300,4859278573700,73400
1179,3,yhjj869,2,"yhjj913, yhjj869",4859295575800,4859295684900,109100
1179,3,yhjj913,2,"yhjj913, yhjj869",4859295601600,4859295808800,207200
1179,3,yhjj934,2,"yhjj916, yhjj934",4859296192300,4859296378500,186200
1179,3,yhjj916,2,"yhjj916, yhjj934",4859296252700,4859296299900,47200
1179,3,yhjj862,2,"yhjj992, yhjj862",4859297338900,4859297501900,163000
1179,3,yhjj992,2,"yhjj992, yhjj862",4859297359800,4859297490000,130200
1179,3,yhjj861,2,"yhjj827, yhjj861",4859299762000,4859299845000,83000
1179,3,yhjj827,2,"yhjj827, yhjj861",4859299785300,4859299850400,65100
1179,3,yhjj970,2,"yhjj907, yhjj970",4859301766700,4859302023200,256500
1179,3,yhjj907,2,"yhjj907, yhjj970",4859301892000,4859301936500,44500
1179,4,yhjj847,2,"yhjj906, yhjj847",4859308599400,4859308658300,58900
1179,4,yhjj906,2,"yhjj906, yhjj847",4859308611600,4859308766400,154800
1179,4,yhjj871,2,"yhjj909, yhjj871",4859310633600,4859310774300,140700
1179,4,yhjj909,2,"yhjj909, yhjj871",4859310654500,4859310760100,105600
1179,4,yhjj981,2,"yhjj977, yhjj981",4859311263800,4859311391100,127300
1179,4,yhjj977,2,"yhjj977, yhjj981",4859311315700,4859311414400,98700
1179,4,yhjj960,2,"yhjj1009, yhjj960",4859312227600,4859312298200,70600
1179,4,yhjj1009,2,"yhjj1009, yhjj960",4859312262900,4859312317600,54700
1179,4,yhjj1017,3,"yhjj1012, yhjj1017, yhjj845",4859313788400,4859313937500,149100
1179,4,yhjj845,3,"yhjj1012, yhjj1017, yhjj845",4859313801700,4859313868800,67100
1179,4,yhjj1012,3,"yhjj1012, yhjj1017, yhjj845",4859313808600,4859313946400,137800
1179,4,yhjj964,2,"yhjj882, yhjj964",4859315390300,4859315475300,85000
1179,5,yhjj882,2,"yhjj882, yhjj964",4859315440200,4859315541600,101400
1179,5,yhjj910,2,"yhjj957, yhjj910",4859316341200,4859316412700,71500
1179,5,yhjj957,2,"yhjj957, yhjj910",4859316366700,4859316478000,111300
1179,5,yhjj895,3,"yhjj926, yhjj895, yhjj908",4859316795800,4859316874100,78300
1179,5,yhjj926,4,"yhjj908, yhjj926, yhjj945, yhjj921",4859316808800,4859317002100,193300
1179,5,yhjj908,6,"yhjj921, yhjj908, yhjj945, yhjj863, yhjj982, yhjj888",4859316970000,4859317225900,255900
1179,5,yhjj945,6,"yhjj921, yhjj908, yhjj945, yhjj863, yhjj982, yhjj888",4859317096400,4859317332600,236200
1179,5,yhjj921,6,"yhjj888, yhjj921, yhjj863, yhjj973, yhjj993, yhjj966",4859317140800,4859317956900,816100
1179,5,yhjj863,3,"yhjj993, yhjj863, yhjj888",4859317437000,4859318326700,889700
1179,5,yhjj982,3,"yhjj982, yhjj921, yhjj863",4859317452000,4859317513900,61900
1179,5,yhjj888,3,"yhjj966, yhjj888, yhjj995",4859317870400,4859318521300,650900
1179,5,yhjj973,3,"yhjj973, yhjj863, yhjj888",4859318149300,4859318191000,41700
1179,5,yhjj993,3,"yhjj993, yhjj863, yhjj888",4859318241400,4859318286900,45500
1179,5,yhjj966,2,"yhjj995, yhjj966",4859318456800,4859318608800,152000
1179,5,yhjj995,2,"yhjj995, yhjj966",4859318582600,4859318626100,43500
1179,5,yhjj980,5,"yhjj954, yhjj980, yhjj915, yhjj983, yhjj1011",4859319389800,4859319691500,301700
1179,5,yhjj915,5,"yhjj954, yhjj980, yhjj915, yhjj983, yhjj1011",4859319424400,4859319634700,210300
1179,5,yhjj983,5,"yhjj954, yhjj980, yhjj915, yhjj983, yhjj1011",4859319455600,4859319651400,195800
1179,5,yhjj1011,5,"yhjj954, yhjj980, yhjj915, yhjj983, yhjj1011",4859319550900,4859319770800,219900
1179,6,yhjj954,5,"yhjj954, yhjj980, yhjj915, yhjj983, yhjj1011",4859319593500,4859319808100,214600
1179,6,yhjj927,2,"yhjj928, yhjj927",4859320243900,4859320332000,88100
1179,6,yhjj928,2,"yhjj928, yhjj927",4859320263700,4859320293200,29500
1179,6,yhjj897,3,"yhjj959, yhjj897, yhjj942",4859322436100,4859322532000,95900
1179,6,yhjj942,3,"yhjj959, yhjj897, yhjj942",4859322436200,4859322477400,41200
1179,6,yhjj959,3,"yhjj959, yhjj897, yhjj942",4859322468200,4859322540800,72600
1179,6,yhjj901,4,"yhjj860, yhjj901, yhjj903, yhjj857",4859323816500,4859324078700,262200
1179,6,yhjj991,2,"yhjj991, yhjj901",4859323858000,4859323880800,22800
1179,6,yhjj955,2,"yhjj955, yhjj901",4859323968700,4859323997500,28800
1179,6,yhjj860,3,"yhjj857, yhjj860, yhjj969",4859324049100,4859324206100,157000
1179,6,yhjj903,2,"yhjj903, yhjj860",4859324090600,4859324123500,32900
1179,6,yhjj857,2,"yhjj969, yhjj857",4859324177100,4859324270900,93800
1179,6,yhjj969,2,"yhjj969, yhjj857",4859324239600,4859324332800,93200
1179,7,yhjj1002,2,"yhjj840, yhjj1002",4859327001300,4859327927200,925900
1179,7,yhjj866,2,"yhjj866, yhjj1002",4859327010400,4859327029200,18800
1179,7,yhjj939,2,"yhjj939, yhjj1002",4859327072800,4859327137000,64200
1179,7,yhjj884,2,"yhjj884, yhjj1002",4859327331500,4859327351400,19900
1179,7,yhjj840,2,"yhjj840, yhjj1002",4859327479000,4859327515300,36300
1179,7,yhjj920,5,"yhjj998, yhjj920, yhjj947, yhjj850, yhjj929",4859328044900,4859328899700,854800
1179,7,yhjj1014,2,"yhjj1014, yhjj920",4859328163100,4859328185300,22200
1179,7,yhjj947,7,"yhjj941, yhjj947, yhjj904, yhjj933, yhjj1006, yhjj938, yhjj887",4859328226600,4859329769200,1542600
1179,7,yhjj850,7,"yhjj904, yhjj947, yhjj850, yhjj929, yhjj944, yhjj941, yhjj933",4859328339700,4859329489600,1149900
1179,7,yhjj852,4,"yhjj852, yhjj920, yhjj947, yhjj850",4859328417200,4859328445900,28700
1179,7,yhjj929,7,"yhjj904, yhjj947, yhjj850, yhjj929, yhjj944, yhjj941, yhjj933",4859328457900,4859329676500,1218600
1179,7,yhjj998,5,"yhjj998, yhjj920, yhjj947, yhjj850, yhjj929",4859328499000,4859328518200,19200
1179,7,yhjj996,4,"yhjj996, yhjj947, yhjj850, yhjj929",4859329054100,4859329073200,19100
1179,8,yhjj889,4,"yhjj889, yhjj947, yhjj850, yhjj929",4859329306100,4859329396600,90500
1179,8,yhjj904,3,"yhjj933, yhjj904, yhjj941",4859329462300,4859329809500,347200
1179,8,yhjj944,3,"yhjj944, yhjj947, yhjj904",4859329714500,4859329733900,19400
1179,8,yhjj941,2,"yhjj887, yhjj941",4859329749300,4859330223400,474100
1179,8,yhjj933,3,"yhjj933, yhjj904, yhjj941",4859329776700,4859329795900,19200
1179,8,yhjj1006,2,"yhjj1006, yhjj941",4859329865600,4859329886500,20900
1179,8,yhjj938,2,"yhjj938, yhjj941",4859329934700,4859329965100,30400
1179,8,yhjj887,2,"yhjj887, yhjj941",4859330066600,4859330086900,20300
1179,8,yhjj937,3,"yhjj893, yhjj937, yhjj923",4859332642800,4859332923300,280500
1179,8,yhjj978,2,"yhjj978, yhjj937",4859332679700,4859332700000,20300
1179,8,yhjj893,2,"yhjj923, yhjj893",4859332854800,4859333037800,183000
1179,8,yhjj923,2,"yhjj923, yhjj893",4859333020700,4859333239100,218400
1179,9,yhjj890,3,"yhjj878, yhjj890, yhjj967",4859334564600,4859336425900,1861300
1179,9,yhjj967,2,"yhjj1018, yhjj967",4859334629900,4859336641400,2011500
1179,9,yhjj891,3,"yhjj891, yhjj890, yhjj967",4859334655700,4859334677300,21600
1179,9,yhjj1000,4,"yhjj902, yhjj890, yhjj967, yhjj1000",4859334914700,4859335259100,344400
1179,9,yhjj930,4,"yhjj930, yhjj890, yhjj967, yhjj1000",4859334954000,4859334984300,30300
1179,9,yhjj911,4,"yhjj911, yhjj890, yhjj967, yhjj1000",4859335103300,4859335137700,34400
1179,9,yhjj902,4,"yhjj902, yhjj890, yhjj967, yhjj1000",4859335202500,4859335232000,29500
1179,9,yhjj870,3,"yhjj870, yhjj890, yhjj967",4859335489300,4859335519700,30400
1179,9,yhjj894,3,"yhjj894, yhjj890, yhjj967",4859335595400,4859335614200,18800
1179,9,yhjj878,3,"yhjj878, yhjj890, yhjj967",4859335964300,4859336030100,65800
1179,9,yhjj1018,2,"yhjj1018, yhjj967",4859336567100,4859336588700,21600
1179,9,yhjj990,3,"yhjj1004, yhjj990, yhjj972",4859338532000,4859339530400,998400
1179,9,yhjj999,2,"yhjj999, yhjj990",4859338573400,4859338596500,23100
1179,9,yhjj968,2,"yhjj968, yhjj990",4859338766600,4859338792100,25500
1179,9,yhjj855,2,"yhjj855, yhjj990",4859338880400,4859338907500,27100
1179,9,yhjj972,2,"yhjj1001, yhjj972",4859339068100,4859339767300,699200
1179,10,yhjj1004,3,"yhjj1004, yhjj990, yhjj972",4859339465900,4859339498000,32100
1179,10,yhjj965,2,"yhjj965, yhjj972",4859339591600,4859339623900,32300
1179,10,yhjj1001,2,"yhjj1001, yhjj972",4859339649200,4859339670900,21700
1179,10,yhjj949,3,"yhjj962, yhjj949, yhjj900",4859340840300,4859341571500,731200
1179,10,yhjj997,2,"yhjj997, yhjj949",4859340880600,4859340921300,40700
1179,10,yhjj900,5,"yhjj950, yhjj900, yhjj975, yhjj1013, yhjj987",4859341131400,4859341922900,791500
1179,10,yhjj971,4,"yhjj988, yhjj949, yhjj900, yhjj971",4859341159900,4859341279500,119600
1179,10,yhjj988,4,"yhjj988, yhjj949, yhjj900, yhjj971",4859341166400,4859341184700,18300
1179,10,yhjj962,3,"yhjj962, yhjj949, yhjj900",4859341403700,4859341425700,22000
1179,10,yhjj975,3,"yhjj905, yhjj975, yhjj1013",4859341586900,4859342211200,624300
1179,10,yhjj951,3,"yhjj951, yhjj900, yhjj975",4859341607300,4859341629200,21900
1179,10,yhjj1013,3,"yhjj905, yhjj975, yhjj1013",4859341692300,4859342743300,1051000
1179,10,yhjj987,5,"yhjj950, yhjj900, yhjj975, yhjj1013, yhjj987",4859341843400,4859341864500,21100
1179,10,yhjj950,5,"yhjj950, yhjj900, yhjj975, yhjj1013, yhjj987",4859341859700,4859341906500,46800
1179,10,yhjj905,3,"yhjj905, yhjj975, yhjj1013",4859342006000,4859342024700,18700
1179,10,yhjj963,2,"yhjj823, yhjj963",4859342848800,4859342940800,92000
1179,10,yhjj823,2,"yhjj823, yhjj963",4859342891200,4859342950700,59500
