roomNumber,bin,room_entry_sequence,sorted_sequence_position,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff
1170,1,4,4.0,yhjj849,,,4,5.0,6.0,1.0
1170,1,5,5.0,yhjj848,,,4,6.0,5.0,-1.0
1170,1,18,18.0,yhjj969,,,19,19.0,21.0,2.0
1170,1,19,19.0,yhjj833,,,18,20.0,19.0,-1.0
1170,1,20,20.0,yhjj950,,,18,21.0,20.0,-1.0
1170,2,24,24.0,yhjj842,,,23,25.0,26.0,1.0
1170,2,25,25.0,yhjj870,,,24,26.0,25.0,-1.0
1170,2,26,26.0,yhjj921,,,29,27.0,30.0,3.0
1170,2,27,27.0,yhjj820,,,26,28.0,32.0,4.0
1170,2,28,28.0,yhjj889,,,26,29.0,27.0,-2.0
1170,2,29,29.0,yhjj883,,,27,30.0,28.0,-2.0
1170,2,30,30.0,yhjj879,,,28,31.0,29.0,-2.0
1170,2,31,31.0,yhjj944,,,30,32.0,31.0,-1.0
1170,2,36,36.0,yhjj853,,,36,37.0,38.0,1.0
1170,2,37,37.0,yhjj951,,,36,38.0,37.0,-1.0
1170,3,48,48.0,yhjj826,,,48,49.0,53.0,4.0
1170,3,49,49.0,yhjj998,,,48,50.0,49.0,-1.0
1170,3,51,51.0,yhjj972,,,49,52.0,50.0,-2.0
1170,3,52,52.0,yhjj920,,,49,53.0,52.0,-1.0
1170,3,57,57.0,yhjj1000,,,57,58.0,59.0,1.0
1170,3,58,58.0,yhjj825,,,57,59.0,58.0,-1.0
1170,4,63,63.0,yhjj915,,,65,64.0,66.0,2.0
1170,4,64,64.0,yhjj897,,,63,65.0,64.0,-1.0
1170,4,65,65.0,yhjj979,,,64,66.0,65.0,-1.0
1170,4,66,66.0,yhjj837,,,66,67.0,68.0,1.0
1170,4,67,67.0,yhjj1002,,,66,68.0,67.0,-1.0
1170,4,69,69.0,yhjj899,,,72,70.0,73.0,3.0
1170,4,70,70.0,yhjj919,,,73,71.0,74.0,3.0
1170,4,71,71.0,yhjj894,,,69,72.0,70.0,-2.0
1170,4,72,72.0,yhjj876,,,70,73.0,71.0,-2.0
