roomNumber,bin,user_id,contention_group_size,contention_user_ids,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos
1243,1,yhjj840,1,yhjj840,2567700832400,2567701526500,694100
1243,1,yhjj820,1,yhjj820,2567701934000,2567702147700,213700
1243,1,yhjj848,1,yhjj848,2567703299900,2567704696200,1396300
1243,1,yhjj832,1,yhjj832,2567704847100,2567705265000,417900
1243,1,yhjj940,1,yhjj940,2567705367000,2567705633800,266800
1243,1,yhjj836,1,yhjj836,2567719903200,2567722578500,2675300
1243,1,yhjj827,1,yhjj827,2567724381700,2567724560400,178700
1243,1,yhjj819,1,yhjj819,2567726800800,2567726999100,198300
1243,1,yhjj889,1,yhjj889,2567727278200,2567729555300,2277100
1243,1,yhjj872,1,yhjj872,2567732307000,2567732471000,164000
1243,1,yhjj824,1,yhjj824,2567739965600,2567740107900,142300
1243,1,yhjj997,1,yhjj997,2567744148300,2567745188000,1039700
1243,1,yhjj823,1,yhjj823,2567745314400,2567745559300,244900
1243,1,yhjj867,1,yhjj867,2567747860400,2567751626800,3766400
1243,1,yhjj860,1,yhjj860,2567752164800,2567752312300,147500
1243,1,yhjj908,1,yhjj908,2567754138900,2567754349800,210900
1243,1,yhjj1013,1,yhjj1013,2567754624400,2567755575700,951300
1243,1,yhjj912,1,yhjj912,2567755746600,2567756146500,399900
1243,1,yhjj918,1,yhjj918,2567756302100,2567756574600,272500
1243,1,yhjj835,1,yhjj835,2567756720600,2567757271600,551000
1243,2,yhjj851,1,yhjj851,2567757473700,2567757814000,340300
1243,2,yhjj826,1,yhjj826,2567758339700,2567758551300,211600
1243,2,yhjj854,1,yhjj854,2567766129600,2567788775900,22646300
1243,2,yhjj967,1,yhjj967,2567796759600,2567796917500,157900
1243,2,yhjj830,1,yhjj830,2567859202300,2567859308500,106200
1243,2,yhjj1015,1,yhjj1015,2567861167700,2567911646700,50479000
1243,2,yhjj834,1,yhjj834,2567912648000,2567916184400,3536400
1243,2,yhjj921,1,yhjj921,2567917071400,2567917292800,221400
1243,2,yhjj857,1,yhjj857,2567917393300,2567917805700,412400
1243,2,yhjj838,1,yhjj838,2567918115000,2567918644400,529400
1243,2,yhjj914,1,yhjj914,2567918775500,2567918859500,84000
1243,2,yhjj841,1,yhjj841,2567919322800,2567919472700,149900
1243,2,yhjj847,1,yhjj847,2567920130300,2567920402000,271700
1243,2,yhjj845,1,yhjj845,2567920593100,2567921047200,454100
1243,2,yhjj935,1,yhjj935,2567921800600,2567931100100,9299500
1243,2,yhjj883,1,yhjj883,2567931321900,2567931391800,69900
1243,2,yhjj876,1,yhjj876,2567950537600,2567950852600,315000
1243,2,yhjj1003,1,yhjj1003,2567951395900,2567952347600,951700
1243,2,yhjj1009,1,yhjj1009,2567963279200,2567963764800,485600
1243,2,yhjj837,1,yhjj837,2567968908300,2567969235100,326800
1243,3,yhjj831,1,yhjj831,2567970948100,2567971834000,885900
1243,3,yhjj821,1,yhjj821,2567973503200,2567976194300,2691100
1243,3,yhjj846,1,yhjj846,2567986261000,2567986327300,66300
1243,3,yhjj843,1,yhjj843,2568002938000,2568032412700,29474700
1243,3,yhjj885,1,yhjj885,2568034141900,2568034469300,327400
1243,3,yhjj825,1,yhjj825,2568035086100,2568035473100,387000
1243,3,yhjj897,1,yhjj897,2568038229900,2568038599400,369500
1243,3,yhjj907,1,yhjj907,2568042436400,2568042629600,193200
1243,3,yhjj829,1,yhjj829,2568043419600,2568043568100,148500
1243,3,yhjj925,1,yhjj925,2568045949400,2568046017200,67800
1243,3,yhjj833,1,yhjj833,2568076613400,2568076879200,265800
1243,3,yhjj881,1,yhjj881,2568078057700,2568078306400,248700
1243,3,yhjj996,1,yhjj996,2568084281200,2568084502500,221300
1243,3,yhjj1012,1,yhjj1012,2568087066200,2568094612400,7546200
1243,3,yhjj892,1,yhjj892,2568151964300,2568152042000,77700
1243,3,yhjj939,1,yhjj939,2568175046800,2568216483600,41436800
1243,3,yhjj946,1,yhjj946,2568217239100,2568217387200,148100
1243,3,yhjj904,1,yhjj904,2568217455800,2568217659300,203500
