roomNumber,bin,room_entry_sequence,user_id,prev_people,curr_people,max_people,join_result,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,contention_group_size,contention_user_ids
1301,1,1,yhjj859,1,2,100,SUCCESS,876677229200,876677854700,1,yhjj859
1301,1,2,yhjj840,2,3,100,SUCCESS,876683089700,876683337800,1,yhjj840
1301,1,3,yhjj827,3,4,100,SUCCESS,876699103900,876699342100,1,yhjj827
1301,1,4,yhjj903,4,5,100,SUCCESS,876699407400,876699544900,2,"yhjj897, yhjj903"
1301,1,5,yhjj897,4,6,100,SUCCESS,876699441500,876699824600,2,"yhjj897, yhjj903"
1301,1,6,yhjj842,6,7,100,SUCCESS,876704906200,876705018600,1,yhjj842
1301,1,7,yhjj837,7,8,100,SUCCESS,876706532200,876706685600,1,yhjj837
1301,1,8,yhjj836,8,9,100,SUCCESS,876706965300,876707092800,1,yhjj836
1301,1,9,yhjj826,9,10,100,SUCCESS,876710300300,876710416900,1,yhjj826
1301,1,10,yhjj830,10,11,100,SUCCESS,876711379200,876711496400,1,yhjj830
1301,1,11,yhjj843,11,12,100,SUCCESS,876725874900,876725996500,1,yhjj843
1301,1,12,yhjj825,12,13,100,SUCCESS,876726220200,876726322300,1,yhjj825
1301,1,13,yhjj872,13,14,100,SUCCESS,876736076500,876736334100,1,yhjj872
1301,1,14,yhjj954,14,15,100,SUCCESS,876736553800,876736848600,1,yhjj954
1301,1,15,yhjj852,15,16,100,SUCCESS,876741607500,876741821900,1,yhjj852
1301,1,16,yhjj893,16,17,100,SUCCESS,876772265100,876772559700,1,yhjj893
1301,1,17,yhjj902,17,18,100,SUCCESS,876782988700,876783077900,1,yhjj902
1301,1,18,yhjj896,18,19,100,SUCCESS,876783291900,876783377900,1,yhjj896
1301,1,19,yhjj891,19,20,100,SUCCESS,876795740200,876795837100,1,yhjj891
1301,1,20,yhjj922,20,21,100,SUCCESS,876799323200,876799416300,1,yhjj922
1301,2,21,yhjj847,21,22,100,SUCCESS,876800648400,876800759900,1,yhjj847
1301,2,22,yhjj899,22,23,100,SUCCESS,876801420000,876801522700,1,yhjj899
1301,2,23,yhjj839,23,24,100,SUCCESS,876806909500,876807024600,1,yhjj839
1301,2,24,yhjj846,24,25,100,SUCCESS,876807404100,876808683600,3,"yhjj889, yhjj846, yhjj832"
1301,2,25,yhjj889,24,27,100,SUCCESS,876808094800,876809026300,2,"yhjj832, yhjj889"
1301,2,26,yhjj832,25,26,100,SUCCESS,876808809500,876808898700,2,"yhjj832, yhjj889"
1301,2,27,yhjj876,27,28,100,SUCCESS,876815081400,876815217700,1,yhjj876
1301,2,28,yhjj996,28,29,100,SUCCESS,876818751400,876818831300,1,yhjj996
1301,2,29,yhjj828,29,30,100,SUCCESS,876820544700,876820619400,1,yhjj828
