roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,room_entry_sequence,join_result,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1170,1,yhjj828,1,2,2.0,100,1,SUCCESS,2025-07-12 06:02:15.932842+00:00,2025-07-12 06:02:15.932842+00:00,3607657541700,3607657724000
1170,1,yhjj932,2,3,3.0,100,2,SUCCESS,2025-07-12 06:02:15.945854+00:00,2025-07-12 06:02:15.945854+00:00,3607669744900,3607669974200
1170,1,yhjj1006,3,4,4.0,100,3,SUCCESS,2025-07-12 06:02:15.945854+00:00,2025-07-12 06:02:15.945854+00:00,3607670006000,3607670191400
1170,1,yhjj849,4,6,5.0,100,4,SUCCESS,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.951879+00:00,3607674712400,3607675247500
1170,1,yhjj848,4,5,5.0,100,5,SUCCESS,2025-07-12 06:02:15.950831+00:00,2025-07-12 06:02:15.950831+00:00,3607674774600,3607675174500
1170,1,yhjj845,6,7,7.0,100,6,SUCCESS,2025-07-12 06:02:15.952882+00:00,2025-07-12 06:02:15.952882+00:00,3607676915500,3607677090900
1170,1,yhjj839,7,8,8.0,100,7,SUCCESS,2025-07-12 06:02:15.953879+00:00,2025-07-12 06:02:15.953879+00:00,3607677269500,3607677476600
1170,1,yhjj854,8,9,9.0,100,8,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3607679174000,3607679368000
1170,1,yhjj881,9,10,10.0,100,9,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3607679295000,3607679704300
1170,1,yhjj823,10,11,11.0,100,10,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.955168+00:00,3607679915000,3607680076500
1170,1,yhjj850,11,12,12.0,100,11,SUCCESS,2025-07-12 06:02:15.955168+00:00,2025-07-12 06:02:15.957251+00:00,3607680438800,3607681737400
1170,1,yhjj946,12,13,13.0,100,12,SUCCESS,2025-07-12 06:02:15.960401+00:00,2025-07-12 06:02:15.962488+00:00,3607684088700,3607685866600
1170,1,yhjj824,13,14,14.0,100,13,SUCCESS,2025-07-12 06:02:15.962488+00:00,2025-07-12 06:02:15.962488+00:00,3607687012900,3607687182900
1170,1,yhjj917,14,15,15.0,100,14,SUCCESS,2025-07-12 06:02:15.968620+00:00,2025-07-12 06:02:15.968620+00:00,3607692979300,3607693100900
1170,1,yhjj868,15,16,16.0,100,15,SUCCESS,2025-07-12 06:02:15.972467+00:00,2025-07-12 06:02:15.972467+00:00,3607697607000,3607697912400
