roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,room_entry_sequence,join_result,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1243,1,yhjj840,1,2,2.0,100,1,SUCCESS,2025-07-21 03:22:24.997998+00:00,2025-07-21 03:22:24.999005+00:00,2567700832400,2567701526500
1243,1,yhjj820,2,3,3.0,100,2,SUCCESS,2025-07-21 03:22:24.999005+00:00,2025-07-21 03:22:24.999005+00:00,2567701934000,2567702147700
1243,1,yhjj848,3,4,4.0,100,3,SUCCESS,2025-07-21 03:22:25.001011+00:00,2025-07-21 03:22:25.001011+00:00,2567703299900,2567704696200
1243,1,yhjj832,4,5,5.0,100,4,SUCCESS,2025-07-21 03:22:25.001011+00:00,2025-07-21 03:22:25.003018+00:00,2567704847100,2567705265000
1243,1,yhjj940,5,6,6.0,100,5,SUCCESS,2025-07-21 03:22:25.003018+00:00,2025-07-21 03:22:25.003018+00:00,2567705367000,2567705633800
1243,1,yhjj836,6,7,7.0,100,6,SUCCESS,2025-07-21 03:22:25.016807+00:00,2025-07-21 03:22:25.018813+00:00,2567719903200,2567722578500
1243,1,yhjj827,7,8,8.0,100,7,SUCCESS,2025-07-21 03:22:25.020820+00:00,2025-07-21 03:22:25.020820+00:00,2567724381700,2567724560400
1243,1,yhjj819,8,9,9.0,100,8,SUCCESS,2025-07-21 03:22:25.023898+00:00,2025-07-21 03:22:25.023898+00:00,2567726800800,2567726999100
1243,1,yhjj889,9,10,10.0,100,9,SUCCESS,2025-07-21 03:22:25.023898+00:00,2025-07-21 03:22:25.025905+00:00,2567727278200,2567729555300
1243,1,yhjj872,10,11,11.0,100,10,SUCCESS,2025-07-21 03:22:25.029919+00:00,2025-07-21 03:22:25.029919+00:00,2567732307000,2567732471000
1243,1,yhjj824,11,12,12.0,100,11,SUCCESS,2025-07-21 03:22:25.036948+00:00,2025-07-21 03:22:25.036948+00:00,2567739965600,2567740107900
