roomNumber,bin,user_id,prev_people,curr_people,max_people,join_result,room_entry_sequence,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,anomaly_type,over_capacity_amount,over_capacity_curr,over_capacity_max,contention_group_size,contention_user_ids
1301,1,yhjj859,1,2,100,SUCCESS,1,876677229200,876677854700,,0,0,0,1,yhjj859
1301,1,yhjj840,2,3,100,SUCCESS,2,876683089700,876683337800,,0,0,0,1,yhjj840
1301,1,yhjj827,3,4,100,SUCCESS,3,876699103900,876699342100,,0,0,0,1,yhjj827
1301,1,yhjj903,4,5,100,SUCCESS,4,876699407400,876699544900,,0,0,0,2,"yhjj897, yhjj903"
1301,1,yhjj897,4,6,100,SUCCESS,5,876699441500,876699824600,,0,0,0,2,"yhjj897, yhjj903"
1301,1,yhjj842,6,7,100,SUCCESS,6,876704906200,876705018600,,0,0,0,1,yhjj842
1301,1,yhjj837,7,8,100,SUCCESS,7,876706532200,876706685600,,0,0,0,1,yhjj837
1301,1,yhjj836,8,9,100,SUCCESS,8,876706965300,876707092800,,0,0,0,1,yhjj836
1301,1,yhjj826,9,10,100,SUCCESS,9,876710300300,876710416900,,0,0,0,1,yhjj826
1301,1,yhjj830,10,11,100,SUCCESS,10,876711379200,876711496400,,0,0,0,1,yhjj830
1301,1,yhjj843,11,12,100,SUCCESS,11,876725874900,876725996500,,0,0,0,1,yhjj843
1301,1,yhjj825,12,13,100,SUCCESS,12,876726220200,876726322300,,0,0,0,1,yhjj825
1301,1,yhjj872,13,14,100,SUCCESS,13,876736076500,876736334100,,0,0,0,1,yhjj872
1301,1,yhjj954,14,15,100,SUCCESS,14,876736553800,876736848600,,0,0,0,1,yhjj954
1301,1,yhjj852,15,16,100,SUCCESS,15,876741607500,876741821900,,0,0,0,1,yhjj852
1301,1,yhjj893,16,17,100,SUCCESS,16,876772265100,876772559700,,0,0,0,1,yhjj893
1301,1,yhjj902,17,18,100,SUCCESS,17,876782988700,876783077900,,0,0,0,1,yhjj902
